autonomy_key,modifier_key,modifier_value
autonomy_aat_defense_council_member,autonomy_manpower_share,1
autonomy_aat_defense_council_member,can_master_build_for_us,1
autonomy_aat_defense_council_member,extra_trade_to_overlord_factor,1.0
autonomy_aat_defense_council_member,overlord_trade_cost_factor,-0.8
autonomy_aat_defense_council_member,cic_to_overlord_factor,0.35
autonomy_aat_defense_council_member,mic_to_overlord_factor,0.65
autonomy_aat_defense_council_member,autonomy_gain_global_factor,-0.3
autonomy_aat_defense_council_member,peace_score_ratio_transferred_to_overlord,0.5
autonomy_aat_defense_council_member,lend_lease_tension_with_overlord,-0.40
autonomy_aat_defense_council_member,faction_influence_contribution_factor,-0.5
autonomy_colony,autonomy_manpower_share,0.7
autonomy_colony,extra_trade_to_overlord_factor,0.5
autonomy_colony,overlord_trade_cost_factor,-0.5
autonomy_colony,can_master_build_for_us,1
autonomy_colony,peace_score_ratio_transferred_to_overlord,0.1
autonomy_colony,lend_lease_tension_with_overlord,-0.30
autonomy_colony,research_sharing_per_country_bonus_factor,-0.5
autonomy_colony,faction_subject_contribution_gain,-0.75
autonomy_colony,faction_influence_contribution_factor,-0.75
autonomy_dominion,autonomy_manpower_share,0.0
autonomy_dominion,extra_trade_to_overlord_factor,0.25
autonomy_dominion,overlord_trade_cost_factor,-0.25
autonomy_dominion,peace_score_ratio_transferred_to_overlord,0.05
autonomy_dominion,lend_lease_tension_with_overlord,-0.1
autonomy_dominion,faction_influence_contribution_factor,-0.1
autonomy_integrated_puppet,autonomy_manpower_share,1.0
autonomy_integrated_puppet,can_master_build_for_us,1
autonomy_integrated_puppet,extra_trade_to_overlord_factor,1.0
autonomy_integrated_puppet,overlord_trade_cost_factor,-0.9
autonomy_integrated_puppet,cic_to_overlord_factor,0.25
autonomy_integrated_puppet,mic_to_overlord_factor,0.75
autonomy_integrated_puppet,peace_score_ratio_transferred_to_overlord,0.2
autonomy_integrated_puppet,lend_lease_tension_with_overlord,-0.40
autonomy_integrated_puppet,research_sharing_per_country_bonus_factor,-0.5
autonomy_integrated_puppet,faction_influence_contribution_factor,-0.75
autonomy_collaboration_government,autonomy_manpower_share,1.0
autonomy_collaboration_government,can_master_build_for_us,1
autonomy_collaboration_government,extra_trade_to_overlord_factor,1.0
autonomy_collaboration_government,overlord_trade_cost_factor,-0.9
autonomy_collaboration_government,cic_to_overlord_factor,0.75
autonomy_collaboration_government,mic_to_overlord_factor,0.75
autonomy_collaboration_government,peace_score_ratio_transferred_to_overlord,0.2
autonomy_collaboration_government,lend_lease_tension_with_overlord,-0.1
autonomy_collaboration_government,research_sharing_per_country_bonus_factor,-0.5
autonomy_collaboration_government,faction_influence_contribution_factor,-0.75
autonomy_personal_union,autonomy_manpower_share,0.0
autonomy_personal_union,extra_trade_to_overlord_factor,0.5
autonomy_personal_union,overlord_trade_cost_factor,-0.5
autonomy_personal_union,can_master_build_for_us,1
autonomy_personal_union,peace_score_ratio_transferred_to_overlord,0.05
autonomy_personal_union,lend_lease_tension_with_overlord,-0.10
autonomy_personal_union,faction_influence_contribution_factor,-0.5
autonomy_puppet,autonomy_manpower_share,0.9
autonomy_puppet,can_master_build_for_us,1
autonomy_puppet,extra_trade_to_overlord_factor,1.0
autonomy_puppet,overlord_trade_cost_factor,-0.9
autonomy_puppet,peace_score_ratio_transferred_to_overlord,0.1
autonomy_puppet,lend_lease_tension_with_overlord,-0.40
