autonomy_key,is_puppet,is_default,min_freedom_level,manpower_influence,dlc_source
autonomy_aat_defense_council_member,yes,,0.0,0,Arms Against Tyranny
autonomy_colony,yes,,0.60,0.7,Together for Victory
autonomy_dominion,,,0.8,0.2,Graveyard of Empires
autonomy_integrated_puppet,yes,,0.2,1.0,Together for Victory
autonomy_collaboration_government,yes,,0.0,1.0,La Resistance
autonomy_personal_union,yes,,0.0,1.0,No Step Back
autonomy_puppet,yes,yes,0.4,0.9,Death or Dishonor
autonomy_reichskommissariat,yes,,0.2,0.9,Death or Dishonor
autonomy_reichsprotectorate,yes,yes,0.5,0.7,Death or Dishonor
autonomy_satellite,,,0.80,0.5,Death or Dishonor
autonomy_sea_integrated_warlord_subject,yes,,0.5,0.9,"No Compromise, No Surrender"
autonomy_sea_warlord_subject,yes,yes,0.6,0.9,"No Compromise, No Surrender"
autonomy_supervised_state,,,0.75,0.2,Man the Guns
autonomy_wtt_imperial_associate,yes,,0.7,0.7,Waking the Tiger
autonomy_wtt_imperial_protectorate,yes,yes,0.2,0.9,Waking the Tiger
autonomy_wtt_imperial_subject,no,yes,0.8,0.5,Waking the Tiger
autonomy_austro_hungarian_subject,yes,yes,0.2,0.9,Gotterdammerung
autonomy_eu_member,yes,yes,0.0,0.5,Gotterdammerung
autonomy_volkskommissariat,yes,,0.2,0.9,Gotterdammerung
