tag,country_file_path,graphical_culture,graphical_culture_2d,color_r,color_g,color_b,capital_state_id,stability,war_support
ABK,countries/Abkhazia.txt,eastern_european_gfx,eastern_european_2d,51,204,51,826,,
ADU,countries/Andalusia.txt,middle_eastern_gfx,middle_eastern_2d,,,,789,,
AFA,countries/Afar.txt,african_gfx,african_2d,,,,908,,
AFG,countries/Afghanistan.txt,middle_eastern_gfx,middle_eastern_2d,64,160,167,267,0.0,0.1
ALB,countries/Albania.txt,eastern_european_gfx,eastern_european_2d,149,45,102,44,,
ALG,countries/Algeria.txt,middle_eastern_gfx,middle_eastern_2d,,,,459,,
ALT,countries/Altay.txt,asian_gfx,asian_2d,204,255,255,654,,
ANG,countries/Angola.txt,african_gfx,african_2d,155,135,195,540,,
ANU,countries/Ainu.txt,asian_gfx,asian_2d,128,191,255,536,,
AOI,countries/Italian East Africa.txt,western_european_gfx,western_european_2d,0,153,51,271,0.4,0.3
ARG,countries/Argentina.txt,southamerican_gfx,southamerican_2d,145,157,236,278,,
ARM,countries/Armenia.txt,eastern_european_gfx,eastern_european_2d,176,102,136,230,,
AST,countries/Australia.txt,commonwealth_gfx,commonwealth_2d,57,143,97,285,0.8,0.3
ASY,countries/Assyria.txt,middle_eastern_gfx,middle_eastern_2d,128,0,96,676,,
AUS,countries/Austria.txt,western_european_gfx,western_european_2d,224,228,255,4,0.50,
AZR,countries/Azerbaijan.txt,eastern_european_gfx,eastern_european_2d,69,151,49,229,,
BAH,countries/Bahamas.txt,african_gfx,african_2d,,,,690,,
BAN,countries/Bangladesh.txt,asian_gfx,asian_2d,,,,430,,
BAR,countries/Barotseland.txt,african_gfx,african_2d,,,,981,,
BAS,countries/British Antilles.txt,african_gfx,african_2d,,,,692,,
BAY,countries/Bavaria.txt,western_european_gfx,western_european_2d,233,231,246,52,0.75,
BEG,countries/Benishangul-Gumuz.txt,african_gfx,african_2d,,,,840,,
BEL,countries/Belgium.txt,western_european_gfx,western_european_2d,193,171,8,6,0.7,0.3
BHR,countries/Bahrain.txt,middle_eastern_gfx,middle_eastern_2d,,,,1014,,
BHU,countries/Bhutan.txt,asian_gfx,asian_2d,152,130,191,324,0.8,0.1
