country_tag,technology_key,effective_date,source_file,dlc_source
ABK,infantry_weapons,1936-01-01,ABK - Abkhazia.txt,
ABK,infantry_weapons1,1936-01-01,ABK - Abkhazia.txt,
ABK,tech_recon,1936-01-01,ABK - Abkhazia.txt,
ABK,tech_support,1936-01-01,ABK - Abkhazia.txt,
ABK,tech_engineers,1936-01-01,ABK - Abkhazia.txt,
ABK,tech_military_police,1936-01-01,ABK - Abkhazia.txt,
ABK,tech_mountaineers,1936-01-01,ABK - Abkhazia.txt,
ABK,motorised_infantry,1936-01-01,ABK - Abkhazia.txt,
ABK,paratroopers,1936-01-01,ABK - Abkhazia.txt,
ABK,gw_artillery,1936-01-01,ABK - Abkhazia.txt,
ABK,early_fighter,1936-01-01,ABK - Abkhazia.txt,By Blood Alone
ABK,fighter1,1936-01-01,ABK - Abkhazia.txt,By Blood Alone
ABK,early_bomber,1936-01-01,ABK - Abkhazia.txt,By Blood Alone
ABK,strategic_bomber1,1936-01-01,ABK - Abkhazia.txt,By Blood Alone
ABK,naval_bomber1,1936-01-01,ABK - Abkhazia.txt,By Blood Alone
ABK,gwtank,1936-01-01,ABK - Abkhazia.txt,No Step Back
ABK,basic_light_tank,1936-01-01,ABK - Abkhazia.txt,No Step Back
ABK,gwtank_chassis,1936-01-01,ABK - Abkhazia.txt,No Step Back
ABK,basic_light_tank_chassis,1936-01-01,ABK - Abkhazia.txt,No Step Back
ABK,early_submarine,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,basic_submarine,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_destroyer,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_light_cruiser,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_heavy_cruiser,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_battleship,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_battlecruiser,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,transport,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_ship_hull_submarine,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,basic_ship_hull_submarine,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_ship_hull_light,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_ship_hull_cruiser,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,early_ship_hull_heavy,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,mtg_transport,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,basic_battery,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ABK,basic_torpedo,1936-01-01,ABK - Abkhazia.txt,Man the Guns
ADU,infantry_weapons,1936-01-01,ADU - Andalusia.txt,
ADU,infantry_weapons1,1936-01-01,ADU - Andalusia.txt,
ADU,tech_recon,1936-01-01,ADU - Andalusia.txt,
ADU,tech_support,1936-01-01,ADU - Andalusia.txt,
ADU,tech_engineers,1936-01-01,ADU - Andalusia.txt,
ADU,tech_mountaineers,1936-01-01,ADU - Andalusia.txt,
ADU,gw_artillery,1936-01-01,ADU - Andalusia.txt,
ADU,interwar_antiair,1936-01-01,ADU - Andalusia.txt,
ADU,early_fighter,1936-01-01,ADU - Andalusia.txt,By Blood Alone
ADU,early_bomber,1936-01-01,ADU - Andalusia.txt,By Blood Alone
ADU,naval_bomber1,1936-01-01,ADU - Andalusia.txt,By Blood Alone
ADU,electronic_mechanical_engineering,1939-01-01,ADU - Andalusia.txt,
ADU,radio,1939-01-01,ADU - Andalusia.txt,
ADU,mechanical_computing,1939-01-01,ADU - Andalusia.txt,
ADU,basic_machine_tools,1939-01-01,ADU - Andalusia.txt,
ADU,improved_machine_tools,1939-01-01,ADU - Andalusia.txt,
ADU,advanced_machine_tools,1939-01-01,ADU - Andalusia.txt,
ADU,construction1,1939-01-01,ADU - Andalusia.txt,
ADU,construction2,1939-01-01,ADU - Andalusia.txt,
ADU,dispersed_industry,1939-01-01,ADU - Andalusia.txt,
ADU,dispersed_industry2,1939-01-01,ADU - Andalusia.txt,
AFA,infantry_weapons,1936-01-01,AFA - Afar.txt,
AFA,camelry,1936-01-01,AFA - Afar.txt,
AFA,tech_support,1939-01-01,AFA - Afar.txt,
AFA,tech_recon,1939-01-01,AFA - Afar.txt,
AFA,support_weapons,1939-01-01,AFA - Afar.txt,
AFA,gw_artillery,1939-01-01,AFA - Afar.txt,
AFA,electronic_mechanical_engineering,1939-01-01,AFA - Afar.txt,
AFA,radio,1939-01-01,AFA - Afar.txt,
AFA,mechanical_computing,1939-01-01,AFA - Afar.txt,
AFA,computing_machine,1939-01-01,AFA - Afar.txt,
AFA,basic_machine_tools,1939-01-01,AFA - Afar.txt,
AFA,improved_machine_tools,1939-01-01,AFA - Afar.txt,
AFA,advanced_machine_tools,1939-01-01,AFA - Afar.txt,
AFA,fuel_silos,1939-01-01,AFA - Afar.txt,
AFA,construction1,1939-01-01,AFA - Afar.txt,
