decision_key,category_key,icon,cost,fire_only_once,dlc_source
AFG_propose_oil_concession_deal,AFG_oil_concessions_category,GFX_decision_oil,0,,
AFG_nationalize_oil,AFG_oil_concessions_category,GFX_decision_oil,0,,
AFG_radical_students_countdown,AFG_radical_students_category,GFX_decision_revolt,,,
AFG_placate_the_graduates,AFG_radical_students_category,GFX_decision_generic_political_address,50,,
AFG_expand_education_facilities,AFG_radical_students_category,GFX_decision_generic_political_address,50,,
AFG_setup_tank_mio,AFG_radical_students_category,GFX_decision_generic_merge_plant_tank,50,yes,Arms Against Tyranny
AFG_setup_aircraft_mio,AFG_radical_students_category,GFX_decision_SWE_set_air_budget,50,yes,Arms Against Tyranny
AFG_setup_artillery_mio,AFG_radical_students_category,GFX_decision_generic_fortification,50,yes,Arms Against Tyranny
AFG_cross_border_target_state,AFG_cross_border_ties_category,GFX_decision_revolt,,yes,
AFG_suggest_integrate_state,AFG_cross_border_ties_category,GFX_decision_eng_trade_unions_demand,30,yes,
AFG_propose_peace_for_state,AFG_cross_border_ties_category,GFX_decision_hol_exchange_intelligence_data,30,,
AFG_propose_peace_for_tajikistan,AFG_cross_border_ties_category,GFX_decision_hol_exchange_intelligence_data,30,,
AFG_expand_quami,AFG_quami_category,GFX_decision_generic_reorganize_irregulars,,,
AFG_raise_quami,AFG_quami_category,GFX_decision_generic_prepare_civil_war,25,,
AFG_relieve_quami,AFG_quami_category,GFX_decision_SWI_dismiss_council,0,,
AFG_demand_end_to_communist_influence,AFG_foreign_intervention_category,GFX_decision_SOV_secure_the_administration,30,,
AFG_demand_end_to_fascist_influence,AFG_foreign_intervention_category,GFX_decision_ger_reichskommissariats,30,,
AFG_demand_end_to_democratic_influence,AFG_foreign_intervention_category,GFX_decision_generic_form_nation,30,,
AFG_core_central_asian_state,AFG_develop_central_asia_category,GFX_decision_hol_exchange_intelligence_data,30,,
AFG_crackdown_on_dissent,AFG_shadows_of_the_emir_category,GFX_decision_generic_protection,,,
AFG_invite_to_turko_persian_faction,AFG_turko_persian_heritage_category,GFX_decision_generic_protection,50,yes,
AFG_support_resistance_in_state,AFG_turkik_alliance_category,GFX_decision_revolt,30,,
AFG_support_resistance_in_state_middle_east,AFG_turkik_alliance_category,GFX_decision_revolt,30,,
SOV_afg_crush_resistance_in_state,AFG_turkik_alliance_category,GFX_decision_revolt,50,,Graveyard of Empires
AFG_claim_state,AFG_kabul_conference_category,GFX_decision_revolt,30,,
AFG_claim_state_middle_east,AFG_kabul_conference_category,GFX_decision_revolt,30,,
AFG_recruit_turkestan_legion,AFG_turkestan_legion_cat,GFX_decision_generic_prepare_civil_war,,yes,
AFG_a_royal_successor_decision,political_actions,GFX_decision_generic_monarchy,150,yes,
AFG_caliphate_core_state,political_actions,GFX_decision_infiltrate_state,50,yes,
AFG_empire_core_state,political_actions,GFX_decision_infiltrate_state,35,yes,
AFG_mughal_core_state,political_actions,GFX_decision_infiltrate_state,35,yes,
AFG_move_the_capital_to_delhi_decision,political_actions,,50,,Graveyard of Empires
AFG_sikh_recruitment,AFG_sikh_recruitment_cat,GFX_decision_generic_prepare_civil_war,30,yes,
ARG_federal_intervention_in_state,ARG_intervenciones_federales_decisions,GFX_decision_eng_trade_unions_demand,50,yes,
ARG_loan_from_britain,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_pay_back_britain,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_loan_from_germany,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_pay_back_germany,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_loan_from_usa,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_pay_back_usa,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_loan_from_italy,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_pay_back_italy,ARG_international_loan_decisions,GFX_decision_gre_paying_ifc_debt,75,,
ARG_exploit_la_vaca_muerta,prospect_for_resources,oil,50,yes,
ARG_appease_the_allies,ARG_balancing_act_decisions,GFX_decision_SWI_swiss_democratic_tradition_campaign,100,,Arms Against Tyranny
ARG_appease_the_axis,ARG_balancing_act_decisions,GFX_decision_ger_reichskommissariats,100,,Arms Against Tyranny
ARG_military_coup_attempt,ARG_military_coup_decisions,generic_ignite_civil_war,,yes,
ARG_military_state_absorption_mission,ARG_military_coup_decisions,GFX_decision_eng_blackshirt_speech,,,
ARG_sanction_the_generals,ARG_military_coup_decisions,GFX_decision_eng_trade_unions_support,100,,
ARG_increase_military_salaries,ARG_military_coup_decisions,GFX_decision_eng_trade_unions_support,50,,
ARG_core_conquered_state,ARG_south_american_unity_decisions,GFX_decision_generic_form_nation,75,yes,
ARG_peace_out,ARG_island_negotiations_decisions,GFX_decision_eng_trade_unions_support,75,yes,
ARG_england_demands_peace,ARG_island_negotiations_decisions,GFX_decision_eng_propaganda_campaigns,100,yes,
AUS_german_animosity_towards_high_command,AUS_antischluss_category,GFX_decision_generic_assassination,,yes,
AUS_up_security_around_high_command,AUS_antischluss_category,GFX_decision_generic_army_support,30,yes,
AUS_state_garrison,AUS_antischluss_category,GFX_decision_generic_protection,25,yes,
AUS_fortification_effort,AUS_antischluss_category,GFX_decision_generic_fortification,50,,
AUS_civ_industry_effort_effort,AUS_antischluss_category,GFX_decision_generic_factory,50,,
AUS_arms_industry_effort_effort,AUS_antischluss_category,GFX_decision_generic_industry,50,,
AUS_extended_workshifts,AUS_antischluss_category,GFX_decision_generic_factory,50,,
AUS_recruitment_push,AUS_antischluss_category,GFX_decision_generic_military,,yes,
