template_name,unit_type_key,grid_x,grid_y
Qafar Sefari,irregular_infantry,0,0
Qafar Sefari,irregular_infantry,0,1
Qafar Sefari,irregular_infantry,1,0
Qafar Sefari,irregular_infantry,1,1
Royal Guard,infantry,0,0
Royal Guard,infantry,0,1
Royal Guard,infantry,0,2
Royal Guard,cavalry,1,0
Royal Guard,cavalry,1,1
Royal Guard,cavalry,1,2
Royal Guard,cavalry,2,0
Royal Guard,cavalry,2,1
Royal Guard,cavalry,2,2
Royal Guard,light_armor,3,0
Militia,infantry,0,0
Militia,infantry,0,1
Militia,infantry,0,2
Militia,cavalry,1,0
Militia,cavalry,1,1
Militia,cavalry,1,2
Royal Guard,infantry,0,0
Royal Guard,infantry,0,1
Royal Guard,infantry,0,2
Royal Guard,cavalry,1,0
Royal Guard,cavalry,1,1
Royal Guard,cavalry,1,2
Royal Guard,cavalry,2,0
Royal Guard,cavalry,2,1
Royal Guard,artillery_brigade,3,0
Royal Guard,light_armor,4,0
Ferqhah,infantry,0,0
Ferqhah,infantry,0,1
Ferqhah,infantry,0,2
Ferqhah,cavalry,1,0
Ferqhah,cavalry,1,1
Ferqhah,cavalry,1,2
Ferqhah,artillery_brigade,2,0
Royal Guard,infantry,0,0
Royal Guard,infantry,0,1
Royal Guard,infantry,0,2
Royal Guard,cavalry,1,0
Royal Guard,cavalry,1,1
Royal Guard,cavalry,1,2
Royal Guard,cavalry,2,0
Royal Guard,cavalry,2,1
Royal Guard,cavalry,2,2
Royal Guard,light_armor,3,0
Militia,infantry,0,0
Militia,infantry,0,1
Militia,infantry,0,2
Militia,cavalry,1,0
Militia,cavalry,1,1
Militia,cavalry,1,2
Këmbësori Pjesëtim,infantry,0,0
Këmbësori Pjesëtim,infantry,0,1
Këmbësori Pjesëtim,infantry,0,2
Këmbësori Pjesëtim,infantry,1,0
Këmbësori Pjesëtim,infantry,1,1
Këmbësori Pjesëtim,infantry,1,2
Këmbësori Pjesëtim,infantry,2,0
Këmbësori Pjesëtim,infantry,2,1
Këmbësori Pjesëtim,infantry,2,2
Infantry Division,infantry,0,0
Infantry Division,infantry,0,1
Infantry Division,infantry,1,0
Infantry Division,infantry,1,1
Infantry Division,infantry,2,0
Infantry Division,infantry,2,1
División de Infanteria,infantry,0,0
División de Infanteria,infantry,0,1
División de Infanteria,infantry,0,2
División de Infanteria,infantry,1,0
División de Infanteria,infantry,1,1
División de Infanteria,infantry,1,2
División de Infanteria,infantry,2,0
División de Infanteria,infantry,2,1
División de Infanteria,infantry,2,2
Brigada Montaña,mountaineers,0,0
Brigada Montaña,mountaineers,0,1
Brigada Montaña,mountaineers,0,2
División de Caballería,cavalry,0,0
División de Caballería,cavalry,0,1
División de Caballería,cavalry,0,2
División de Caballería,cavalry,1,0
División de Caballería,cavalry,1,1
División de Caballería,cavalry,1,2
División de Caballería,cavalry,2,0
División de Caballería,cavalry,2,1
División de Caballería,cavalry,2,2
División de Infanteria,infantry,0,0
División de Infanteria,infantry,0,1
División de Infanteria,infantry,0,2
