template_name,unit_type_key,grid_x,grid_y
Këmbësori Pjesëtim,recon,0,0
Infantry Division,engineer,0,0
Infanterie Division,engineer,0,0
Infanterie Division,recon,0,1
Alpenjäger Division,engineer,0,0
Alpenjäger Division,recon,0,1
Schnelle Division,engineer,0,0
Schnelle Division,recon,0,1
Division d'Infanterie,engineer,0,0
Division de Cavalerie,recon,0,0
Division de Cavalerie,engineer,0,1
Chasseurs Ardennais,recon,0,0
Chasseurs Ardennais,artillery,0,1
Cycliste Frontière,artillery,0,0
Force Publique,engineer,0,0
Force Publique,artillery,0,1
Divisão de Infantaria,engineer,0,0
Divisão de Infantaria,artillery,0,1
Divisão de Cavalaria,artillery,0,0
Foghorn Leghorn,engineer,0,0
Pekhotna Divizija,engineer,0,0
Tankov Polk,recon,0,0
Juntuán Reformed,artillery,0,0
Motuo Hua Bubing Jun,recon,0,0
Motuo Hua Bubing Jun,engineer,0,1
División de Infanteria,artillery,0,0
División de Infanteria,engineer,0,1
División de Caballería,recon,0,0
Troupes du Katanga,engineer,0,0
Troupes du Katanga,artillery,0,1
Compagnie d'Artillerie et de Génie,engineer,0,0
Compagnie d'Artillerie et de Génie,artillery,0,1
Brigada del Ejército,engineer,0,0
Pesadijska Divizija,engineer,0,0
Hrvatsko domobranstvo,engineer,0,0
Jezdecká brigáda,recon,0,0
Rychlá divize,recon,0,0
Infanteri Division,engineer,0,0
Infanteri Division,artillery,0,1
Binær Division,recon,0,0
Infantry Division,artillery,0,1
Cavalry Brigade,recon,0,0
Motorised Division,engineer,0,0
Motorised Division,mot_recon,0,1
Armoured Car Company,armored_car_recon,0,0
Infantry Division,artillery,0,2
Infantry Division (ME),recon,0,0
Armour Division,mot_recon,0,0
Jalaväediviisi,recon,0,0
Jalkaväkidivisioona,engineer,0,0
Erillinen Prikaati,engineer,0,0
Ratsuväkiprikaati,recon,0,0
Division d'Infanterie,engineer,0,1
Division Coloniale,artillery,0,0
Division d'Infanterie Motorisée,mot_recon,0,0
Division d'Infanterie Motorisée,artillery,0,1
Division Légère Mécanique,mot_recon,0,0
Division Légère Mécanique,engineer,0,1
Division Forteresse,artillery,0,0
Division d'Infanterie Alpine,artillery,0,0
Brigade Cuirassée,artillery,0,0
Infanterie-Division,engineer,0,0
Infanterie-Division,artillery,0,1
Panzer-Division,mot_recon,0,0
Panzer-Division,engineer,0,1
Panzer-Division,artillery,0,2
Infanterie-Division (mot.),mot_recon,0,0
Infanterie-Division (mot.),engineer,0,1
Infanterie-Division (mot.),artillery,0,2
Kavallerie-Brigade,recon,0,0
Kavallerie-Brigade,artillery,0,1
Gebirgs-Division,engineer,0,0
Leichte Division,mot_recon,0,0
Leichte Division,engineer,0,1
SS-Regiment,artillery,0,0
Trigonikó Pezikoú,engineer,0,0
Trigonikó Pezikoú,artillery,0,1
Tetrágono Pezikoú,engineer,0,0
Tetrágono Pezikoú,artillery,0,1
Merarchía Ippikoú,recon,0,0
Lichte Divisie,recon,0,0
Huszár Dandár,recon,0,0
Gyalogdandár,recon,0,0
Gyalogdandár,artillery,0,1
Gyalogdandár,engineer,0,2
Gyalogdandár,logistics_company,0,3
Gyalogdandár,signal_company,0,4
Huszár Dandár,signal_company,0,1
Huszár Dandár,artillery,0,2
Huszár Dandár,anti_air,0,3
Motorizált Dandár,mot_recon,0,0
Motorizált Dandár,anti_tank,0,1
Motorizált Dandár,artillery,0,2
Motorizált Dandár,signal_company,0,3
Motorizált Dandár,maintenance_company,0,4
Ríkislögreglan,recon,0,0
Divisione di Fanteria,engineer,0,0
Divisione di Fanteria,artillery,0,1
Divisione Alpina,engineer,0,0
Divisione Alpina,artillery,0,1
Camicie Nere,engineer,0,0
Divisione Autotrasportabile,engineer,0,0
Divisione Motorizzata,engineer,0,0
Divisione Corazzata,engineer,0,0
Hohei Shidan,engineer,0,0
Hohei Shidan,recon,0,1
Hohei Shidan,artillery,0,2
Dokuritsu Konsei Ryodan,light_tank_recon,0,0
Dokuritsu Konsei Ryodan,engineer,0,1
Dokuritsu Konsei Ryodan,artillery,0,2
Jidousha Shidan,artillery,0,0
Jidousha Shidan,engineer,0,1
Jidousha Shidan,mot_recon,0,2
Rikusentai,engineer,0,0
Ginrinbutai,engineer,0,0
Chugata Hohei Shidan,engineer,0,0
Chugata Hohei Shidan,recon,0,1
Senshadan,engineer,0,0
Artilerijas Pulks,artillery,0,0
Artilerija Divizija,artillery,0,0
Huncheng Lu,artillery,0,0
Infanteridivisjon,engineer,0,0
Binærdivisjon,recon,0,0
Iranian Gendarmerie,military_police,0,0
Philippine Scouts Division,engineer,0,0
Philippine Scouts Division,recon,0,1
Philippine Scouts Division,artillery,0,2
Dywizja Piechoty,recon,0,0
Dywizja Piechoty Górskiej,recon,0,0
Brygada Kawalerii,recon,0,0
Brygada Motorowej,recon,0,0
Brygada Motorowej,engineer,0,1
Grupa Pancerna,engineer,0,0
Juntuán,artillery,0,0
Berittene Militärpolizei,military_police,0,0
Militärpolizei,military_police,0,0
Divizia de Infanterie,artillery,0,0
Divizia de Infanterie,engineer,0,1
Brigada de Munte,engineer,0,0
Blindata Brigada,recon,0,0
Blindata Brigada,engineer,0,1
Sanjiao Jun,artillery,0,0
Mobilná Skupina,recon,0,0
Strelkovaya Diviziya,artillery,0,0
Gornostrelkovaya Diviziya,engineer,0,0
Gornostrelkovaya Diviziya,artillery,0,1
NKVD Pogranichnaya Diviziya,military_police,0,0
Kavaleriyskaya Diviziya,recon,0,0
Tankovaya Korpus,mot_recon,0,0
Tankovaya Korpus,engineer,0,1
Legko-Tankovaya Brigada,engineer,0,0
Tankovaya Brigada,engineer,0,0
Tyazolaya-Tankovaya Brigada,engineer,0,0
Kazachya Kavaleryskaya Diviziya,engineer,0,0
Kazachya Kavaleryskaya Diviziya,artillery,0,1
Kazachya Kavaleryskaya Diviziya,recon,0,2
División de Infantería,artillery,0,0
División de Infantería,engineer,0,1
División de Caballería,engineer,0,1
Brigada Montaña,artillery,0,0
Brigada de Infantería,engineer,0,0
