template_name,division_names_group,source_file
Qafar Sefari,AFA_INF_01,AFA_1936.txt
Royal Guard,AFG_ARM_01,AFG_1936.txt
Militia,AFG_GAR_01,AFG_1936.txt
Royal Guard,AFG_ARM_01,AFG_1936_nsb.txt
Ferqhah,AFG_INF_01,AFG_1936_nsb.txt
Royal Guard,AFG_ARM_01,AFG_1939.txt
Militia,AFG_GAR_01,AFG_1939.txt
Këmbësori Pjesëtim,ALB_INF_01,ALB_1936.txt
Infantry Division,BRA_INF_01,ANG_1936.txt
División de Infanteria,SPAN_INF_02,ARG_1936.txt
Brigada Montaña,SPAN_MNT_02,ARG_1936.txt
División de Caballería,SPAN_CAV_01,ARG_1936.txt
División de Infanteria,SPAN_INF_02,ARG_1939.txt
Brigada Montaña,SPAN_MNT_02,ARG_1939.txt
División de Caballería,SPAN_CAV_01,ARG_1939.txt
Infantry Division,AST_INF_01,AST_1936.txt
Cavalry Division,AST_CAV_01,AST_1936.txt
Armoured Division,AST_ARM_01,AST_1936.txt
Infantry Division,AST_INF_01,AST_1939.txt
Cavalry Division,AST_CAV_01,AST_1939.txt
Armoured Division,AST_ARM_01,AST_1939.txt
Infanterie Division,AUS_INF_01,AUS_1936.txt
Alpenjäger Division,AUS_MNT_01,AUS_1936.txt
Schnelle Division,AUS_CAV_01,AUS_1936.txt
Infanterie Division,AUS_INF_01,AUS_ww_1936.txt
Alpenjäger Division,AUS_MNT_01,AUS_ww_1936.txt
Schnelle Division,AUS_CAV_01,AUS_ww_1936.txt
Division d'Infanterie,BEL_INF_01,BEL_1936.txt
Division de Cavalerie,BEL_CAV_01,BEL_1936.txt
Cavalerie Motorisée,BEL_MOT_01,BEL_1936.txt
Division Coloniale,BEL_GAR_01,BEL_1936.txt
Division d'Infanterie,BEL_INF_01,BEL_1939.txt
Division de Cavalerie,BEL_CAV_01,BEL_1939.txt
Cavalerie Motorisée,BEL_MOT_01,BEL_1939.txt
Division Coloniale,BEL_GAR_01,BEL_1939.txt
Division d'Infanterie,BEL_INF_01,BEL_WW_1936.txt
Chasseurs Ardennais,BEL_Mnt_01,BEL_WW_1936.txt
Division de Cavalerie,BEL_CAV_01,BEL_WW_1936.txt
Cycliste Frontière,BEL_CYC_01,BEL_WW_1936.txt
Force Publique,FREN_INFB_01,BEL_WW_1936.txt
Division d'Infanterie,BEL_INF_01,BEL_WW_1936_lar.txt
Chasseurs Ardennais,BEL_Mnt_01,BEL_WW_1936_lar.txt
Division de Cavalerie,BEL_CAV_01,BEL_WW_1936_lar.txt
Cycliste Frontière,BEL_CYC_01,BEL_WW_1936_lar.txt
Force Publique,FREN_INFB_01,BEL_WW_1936_lar.txt
Division d'Infanterie,BEL_INF_01,BEL_WW_1936_lar_ncns.txt
Chasseurs Ardennais,BEL_Mnt_01,BEL_WW_1936_lar_ncns.txt
Division de Cavalerie,BEL_CAV_01,BEL_WW_1936_lar_ncns.txt
Cycliste Frontière,BEL_CYC_01,BEL_WW_1936_lar_ncns.txt
Force Publique,FREN_INFB_01,BEL_WW_1936_lar_ncns.txt
Division d'Infanterie,BEL_INF_01,BEL_WW_1936_ncns.txt
Chasseurs Ardennais,BEL_Mnt_01,BEL_WW_1936_ncns.txt
Division de Cavalerie,BEL_CAV_01,BEL_WW_1936_ncns.txt
Cycliste Frontière,BEL_CYC_01,BEL_WW_1936_ncns.txt
Force Publique,FREN_INFB_01,BEL_WW_1936_ncns.txt
Division d'Infanterie,BEL_INF_01,BEL_WW_1939.txt
Chasseurs Ardennais,BEL_Mnt_01,BEL_WW_1939.txt
Division de Cavalerie,BEL_CAV_01,BEL_WW_1939.txt
Cavalerie Motorisée,BEL_MOT_01,BEL_WW_1939.txt
Cycliste Frontière,BEL_CYC_01,BEL_WW_1939.txt
Force Publique,FREN_INFB_01,BEL_WW_1939.txt
Infantry Division,BHU_INF_01,BHU_1936.txt
Infantry Division,BHU_INF_01,BHU_1939.txt
División de Infanteria,SPAN_INF_02,BOL_1936.txt
División de Caballería,SPAN_CAV_01,BOL_1936.txt
División de Infanteria,SPAN_INF_02,BOL_1939.txt
División de Caballería,SPAN_CAV_01,BOL_1939.txt
Infantry Division,BRENGL_INF_01,BOT_1936.txt
Divisão de Infantaria,BRA_INF_01,BRA_1936.txt
Divisão de Cavalaria,BRA_CAV_01,BRA_1936.txt
Divisão de Infantaria,BRA_INF_01,BRA_1939.txt
Divisão de Cavalaria,BRA_CAV_01,BRA_1939.txt
Foghorn Leghorn,BRM_INF_01,BRM_1936.txt
Foghorn Leghorn,BRM_INF_01,BRM_1939.txt
Pekhotna Divizija,BUL_INF_01,BUL_1936.txt
Konna Divizija,BUL_CAV_01,BUL_1936.txt
Pekhotna Divizija,BUL_INF_01,BUL_1939.txt
Konna Divizija,BUL_CAV_01,BUL_1939.txt
Tankov Polk,BUL_ARM_01,BUL_1939.txt
Pekhotna Divizija,BUL_INF_01,BUL_1939_nsb.txt
Konna Divizija,BUL_CAV_01,BUL_1939_nsb.txt
Tankov Polk,BUL_ARM_01,BUL_1939_nsb.txt
Azad Hind Infantry Corps,,CA1.txt
Azad Hind Infantry Corps,,CA2.txt
District Militia,CAN_GAR_01,CAN_1936.txt
Cavalry Militia,CAN_CAV_01,CAN_1936.txt
Armored-Division,CAN_ARM_01,CAN_1936.txt
District Militia,CAN_GAR_01,CAN_1936_nsb.txt
Cavalry Militia,CAN_CAV_01,CAN_1936_nsb.txt
Armored-Division,CAN_ARM_01,CAN_1936_nsb.txt
Infantry Division,CAN_INF_01,CAN_1939.txt
District Militia,CAN_GAR_01,CAN_1939.txt
Cavalry Militia,CAN_CAV_01,CAN_1939.txt
Armored-Division,CAN_ARM_01,CAN_1939.txt
Juntuán,CHI_INF_01,CHI_1936.txt
Sanjiao Jun,CHI_INF_01,CHI_1936.txt
Qibing Jun,CHI_CAV_01,CHI_1936.txt
Juntuán,CHI_INF_01,CHI_1936_sea.txt
Sanjiao Jun,CHI_INF_01,CHI_1936_sea.txt
Juntuán Reformed,CHI_INF_01,CHI_1936_sea.txt
Qibing Jun,CHI_CAV_01,CHI_1936_sea.txt
Juntuán,CHI_INF_01,CHI_1939.txt
Sanjiao Jun,CHI_INF_01,CHI_1939.txt
Motuo Hua Bubing Jun,CHI_MOT_01,CHI_1939.txt
Qibing Jun,CHI_CAV_01,CHI_1939.txt
Juntuán,CHI_INF_01,CHI_1939_sea.txt
Juntuán Reformed,CHI_INF_01,CHI_1939_sea.txt
Sanjiao Jun,CHI_INF_01,CHI_1939_sea.txt
Motuo Hua Bubing Jun,CHI_MOT_01,CHI_1939_sea.txt
Qibing Jun,CHI_CAV_01,CHI_1939_sea.txt
Juntuán,CHI_INF_01,CHI_united_front.txt
División de Infanteria,SPAN_INF_02,CHL_1936.txt
División de Caballería,SPAN_CAV_01,CHL_1936.txt
División de Infanteria,SPAN_INF_02,CHL_1939.txt
División de Caballería,SPAN_CAV_01,CHL_1939.txt
División de Infanteria,SPAN_INF_02,CHL_TOA_1936.txt
División de Caballería,SPAN_CAV_01,CHL_TOA_1936.txt
Regimiento Escolta Presidencial,SPAN_INF_01,CHL_TOA_1936.txt
Regimiento de Carabineros,SPAN_INF_02,CHL_TOA_1936.txt
Cuerpo de Gendarmería de Prisiones,SPAN_INF_01,CHL_TOA_1936.txt
División de Infanteria,SPAN_INF_02,CHL_TOA_1939.txt
División de Caballería,SPAN_CAV_01,CHL_TOA_1939.txt
Regimiento Escolta Presidencial,SPAN_INF_01,CHL_TOA_1939.txt
Regimiento de Carabineros,SPAN_INF_02,CHL_TOA_1939.txt
Cuerpo de Gendarmería de Prisiones,SPAN_INF_01,CHL_TOA_1939.txt
Force Publique,FREN_INFB_01,COG_1936.txt
Troupes du Katanga,FREN_INFB_01,COG_1936.txt
Force Publique,FREN_INFB_01,COG_1939.txt
Troupes du Katanga,FREN_INFB_01,COG_1939.txt
Compagnie d'Artillerie et de Génie,FREN_INFB_01,COG_1939.txt
Brigada del Ejército,SPAN_INFB_02,COL_1936.txt
Brigada del Ejército,SPAN_INFB_02,COL_1939.txt
División de Infantería,SPAN_INF_01,COS_1936.txt
División de Infantería,SPAN_INF_01,COS_1939.txt
Cavalry Division,UKR_CAV_01,CRI_khanate_soldiers.txt
Infantry Division,UKR_INF_01,CRI_khanate_soldiers.txt
Pesadijska Divizija,CRO_INF_01,CRO_1936.txt
Alpine Odred,CRO_MTN_01,CRO_1936.txt
Konjièka Divizija,CRO_CAV_01,CRO_1936.txt
Bataljon Bornih Kola,CRO_ARM_01,CRO_1936.txt
Hrvatsko domobranstvo,CRO_INF_01,CRO_YUG_independence.txt
Alpine Odred,CRO_MTN_01,CRO_YUG_independence.txt
Konjièka Divizija,CRO_CAV_01,CRO_YUG_independence.txt
Bataljon Bornih Kola,CRO_ARM_01,CRO_YUG_independence.txt
Volunteer Brigade,CSA_INF_01,CSA_fascist_uprising.txt
Volunteer Cavalry,CSA_CAV_01,CSA_fascist_uprising.txt
Brigada de Infanteria,SPAN_INFB_02,CUB_1936.txt
Brigada de Caballería,SPAN_CAVB_01,CUB_1936.txt
Brigada de Infanteria,SPAN_INFB_02,CUB_1939.txt
Brigada de Caballería,SPAN_CAVB_01,CUB_1939.txt
Pěší divize,CZE_INF_01,CZE_1936.txt
Horská divize,CZE_MNT_01,CZE_1936.txt
Jezdecká brigáda,CZE_CAV_01,CZE_1936.txt
Rychlá divize,CZE_ARM_01,CZE_1936.txt
Pěší divize,CZE_INF_01,CZE_1936_nsb.txt
Horská divize,CZE_MNT_01,CZE_1936_nsb.txt
Jezdecká brigáda,CZE_CAV_01,CZE_1936_nsb.txt
Rychlá divize,CZE_ARM_01,CZE_1936_nsb.txt
Infanteri Division,DEN_INF_01,DEN_1936.txt
Binær Division,DEN_INF_01,DEN_1936.txt
Kavaleri Brigade,DEN_CAV_01,DEN_1936.txt
Infanteri Division,DEN_INF_01,DEN_1939.txt
Binær Division,DEN_INF_01,DEN_1939.txt
Kavaleri Brigade,DEN_CAV_01,DEN_1939.txt
División de Infanteria,SPAN_INF_01,DOM_1936.txt
División de Infanteria,SPAN_INF_01,DOM_1939.txt
Kavaleriyskaya Diviziya,SOV_CAV_01,DON_cossack_host.txt
División de Infanteria,SPAN_INF_01,ECU_1936.txt
División de Infanteria,SPAN_INF_01,ECU_1939.txt
Brigada de Infanteria,SPAN_INFB_02,ELS_1936.txt
Brigada de Infanteria,SPAN_INFB_02,ELS_1939.txt
Infantry Division,ENG_INF_01,ENG_1936.txt
Cavalry Brigade,ENG_CAV_02,ENG_1936.txt
Tank Brigade,ENG_ARM_02,ENG_1936.txt
Motorised Division,,ENG_1936.txt
Colonial Garrison,ENG_COL_01,ENG_1936.txt
Infantry Division,ENG_INF_01,ENG_1936_LaR.txt
Cavalry Brigade,ENG_CAV_02,ENG_1936_LaR.txt
Tank Brigade,ENG_ARM_02,ENG_1936_LaR.txt
Motorised Division,,ENG_1936_LaR.txt
Armoured Car Company,ENG_CAR_01,ENG_1936_LaR.txt
Colonial Garrison,ENG_COL_01,ENG_1936_LaR.txt
Infantry Division,ENG_INF_01,ENG_1936_nsb.txt
Cavalry Brigade,ENG_CAV_02,ENG_1936_nsb.txt
Tank Brigade,ENG_ARM_02,ENG_1936_nsb.txt
Motorised Division,,ENG_1936_nsb.txt
Colonial Garrison,ENG_COL_01,ENG_1936_nsb.txt
Infantry Division,ENG_INF_01,ENG_1936_nsb_LaR.txt
Cavalry Brigade,ENG_CAV_02,ENG_1936_nsb_LaR.txt
Tank Brigade,ENG_ARM_02,ENG_1936_nsb_LaR.txt
Motorised Division,,ENG_1936_nsb_LaR.txt
Armoured Car Company,ENG_CAR_01,ENG_1936_nsb_LaR.txt
Colonial Garrison,ENG_COL_01,ENG_1936_nsb_LaR.txt
Infantry Division,ENG_INF_01,ENG_1939.txt
Infantry Division (ME),ENG_INF_01,ENG_1939.txt
Motorised Division,ENG_MOT_01,ENG_1939.txt
Armour Division,ENG_ARM_01,ENG_1939.txt
Tank Brigade,ENG_ARM_02,ENG_1939.txt
Cavalry Brigade,ENG_CAV_02,ENG_1939.txt
Colonial Garrison,ENG_COL_01,ENG_1939.txt
Infantry Division,ENG_INF_01,ENG_1939_nsb.txt
Infantry Division (ME),ENG_INF_01,ENG_1939_nsb.txt
Motorised Division,ENG_MOT_01,ENG_1939_nsb.txt
Armour Division,ENG_ARM_01,ENG_1939_nsb.txt
Tank Brigade,ENG_ARM_02,ENG_1939_nsb.txt
Cavalry Brigade,ENG_CAV_02,ENG_1939_nsb.txt
Colonial Garrison,ENG_COL_01,ENG_1939_nsb.txt
Motorised Division,,ENG_LAR_Motorized.txt
Armoured Car Company,ENG_CAR_01,ENG_LAR_Motorized.txt
Motorised Division,,ENG_Motorized.txt
Jalaväediviisi,EST_INF_01,EST_1936.txt
Ratsavägi,EST_INF_01,EST_1936.txt
Jalaväediviisi,EST_INF_01,EST_1939.txt
Kebur Zabagna,ETH_INF_01,ETH_1936.txt
Infantry Division,ETH_INF_01,ETH_1936.txt
