owner_tag,base_equipment_key,version_name,effective_date,source_file
AOI,fighter_equipment_0,CR.42,1936-01-01,AOI - Italian East Africa.txt
AOI,light_tank_chassis_1,L3/35,1936-01-01,AOI - Italian East Africa.txt
AOI,submarine_1,Bandiera Class,1936-01-01,AOI - Italian East Africa.txt
AOI,submarine_1,Sirena Class,1936-01-01,AOI - Italian East Africa.txt
AOI,destroyer_1,Navigatori Class,1936-01-01,AOI - Italian East Africa.txt
AOI,destroyer_1,Maestrale Class,1936-01-01,AOI - Italian East Africa.txt
AOI,light_cruiser_1,Giussano Class,1936-01-01,AOI - Italian East Africa.txt
AOI,light_cruiser_1,Montecuccoli Class,1936-01-01,AOI - Italian East Africa.txt
AOI,heavy_cruiser_1,Zara Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_heavy_1,Andrea Doria Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_heavy_1,Conte Di Cavour Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_coastal_defense_ship,San Giorgio Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_1,Trento Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_1,Zara Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_2,Bolzano Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_1,Taranto Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_1,Giussano Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_2,Montecuccoli Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_cruiser_2,Duca degli Abruzzi Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_light_1,Curtatone Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_light_1,Navigatori Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_light_1,Maestrale Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_light_1,Aquila Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_heavy_2,Littorio Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_submarine_1,Mameli Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_submarine_1,Bandiera Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_submarine_1,Sirena Class,1936-01-01,AOI - Italian East Africa.txt
AOI,ship_hull_submarine_2,Calvi Class,1936-01-01,AOI - Italian East Africa.txt
ARG,small_plane_airframe_0,FMA D.21,1936-01-01,ARG - Argentina.txt
ARG,destroyer_1,Cervantes Class,1936-01-01,ARG - Argentina.txt
ARG,heavy_cruiser_1,Veinticinco de Mayo Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_submarine_1,Santa Fe Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_light_1,Catamarca Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_light_2,Cervantes Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_light_2,Mendoza Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_cruiser_coastal_defense_ship,Libertad Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_cruiser_coastal_defense_ship,Garibaldi Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_cruiser_1,Veinticinco de Mayo Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_heavy_1,Rivadavia Class,1936-01-01,ARG - Argentina.txt
ARG,ship_hull_light_2,Buenos Aires Class,1939-01-01,ARG - Argentina.txt
ARG,ship_hull_cruiser_1,La Argentina Class,1939-01-01,ARG - Argentina.txt
AST,light_cruiser_1,Sydney Class,1936-01-01,AST - Australia.txt
AST,heavy_cruiser_1,Canberra Class,1936-01-01,AST - Australia.txt
AST,ship_hull_cruiser_2,Sydney Class,1936-01-01,AST - Australia.txt
AST,ship_hull_cruiser_1,Town Class,1936-01-01,AST - Australia.txt
AST,ship_hull_cruiser_2,Leander Class,1936-01-01,AST - Australia.txt
AST,ship_hull_cruiser_1,Canberra Class,1936-01-01,AST - Australia.txt
AST,ship_hull_cruiser_1,County Class,1936-01-01,AST - Australia.txt
AST,ship_hull_light_1,V/W Class,1936-01-01,AST - Australia.txt
AST,ship_hull_light_1,S Class,1936-01-01,AST - Australia.txt
AST,destroyer_1,Arunta Class,1939-01-01,AST - Australia.txt
AST,ship_hull_light_2,Arunta Class,1939-01-01,AST - Australia.txt
BEL,light_tank_destroyer_chassis_1,T13 B1,1936-01-01,BEL - Belgium.txt
BRA,ship_hull_heavy_1,Minas Geraes Class,1936-01-01,BRA - Brazil.txt
BRA,ship_hull_cruiser_1,Bahia Class,1936-01-01,BRA - Brazil.txt
BRA,ship_hull_light_1,Para Class,1936-01-01,BRA - Brazil.txt
BRA,ship_hull_submarine_2,Humaytá Class,1936-01-01,BRA - Brazil.txt
BRA,ship_hull_submarine_2,Tupi Class,1939-01-01,BRA - Brazil.txt
CAN,destroyer_1,River Class,1936-01-01,CAN - Canada.txt
CAN,ship_hull_light_1,S Class,1936-01-01,CAN - Canada.txt
CAN,ship_hull_light_1,River Class,1936-01-01,CAN - Canada.txt
CAN,destroyer_1,Athabaskan Class,1939-01-01,CAN - Canada.txt
CAN,ship_hull_light_2,Iroquois Class,1939-01-01,CAN - Canada.txt
CHI,light_tank_chassis_1,L3/35,1936-01-01,CHI - China.txt
CHI,light_tank_chassis_1,Panzer I Ausf. A,1936-01-01,CHI - China.txt
CHI,ship_hull_light_1,Chiang Feng Class,1936-01-01,CHI - China.txt
CHI,ship_hull_cruiser_coastal_defense_ship,Hai Yung Class,1936-01-01,CHI - China.txt
CHI,ship_hull_cruiser_1,Ninghai Class,1936-01-01,CHI - China.txt
CHI,ship_hull_cruiser_coastal_defense_ship,Chao Ho Class,1936-01-01,CHI - China.txt
CHL,submarine_1,Capitán O'Brien Class,1936-01-01,CHL - Chile.txt
CHL,destroyer_1,Serrano Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_submarine_1,H1 Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_submarine_1,Capitán O'Brien Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_light_1,Almirante Lynch Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_light_1,Serrano Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_cruiser_coastal_defense_ship,O'Higgins Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_cruiser_coastal_defense_ship,Chacabuco Class,1936-01-01,CHL - Chile.txt
CHL,ship_hull_heavy_1,Almirante Latorre Class,1936-01-01,CHL - Chile.txt
CHR,ship_hull_light_1,Antioquia Class,1936-01-01,CHR - Charrua.txt
COL,ship_hull_light_1,Antioquia Class,1936-01-01,COL - Colombia.txt
CSA,tac_bomber_equipment_0,Martin M166,1939-01-01,CSA - CSA.txt
CSA,submarine_1,Barracuda Class,1936-01-01,CSA - CSA.txt
CSA,destroyer_1,Farragut Class,1936-01-01,CSA - CSA.txt
CSA,heavy_cruiser_1,Portland Class,1936-01-01,CSA - CSA.txt
CSA,battleship_1,Pennsylvania Class,1936-01-01,CSA - CSA.txt
CSA,battleship_1,New Mexico Class,1936-01-01,CSA - CSA.txt
CSA,battleship_1,Colorado Class,1936-01-01,CSA - CSA.txt
CSA,carrier_2,Yorktown Class,1936-01-01,CSA - CSA.txt
CSA,submarine_2,Salmon Class,1939-01-01,CSA - CSA.txt
CSA,destroyer_2,Benson & Gleaves Class,1939-01-01,CSA - CSA.txt
CSA,carrier_2,Wasp Class,1939-01-01,CSA - CSA.txt
CSA,cv_fighter_equipment_1,F2A Buffalo,1939-01-01,CSA - CSA.txt
CSA,battleship_2,South Dakota Class,1939-01-01,CSA - CSA.txt
CZE,light_tank_chassis_1,Tancik vz. 33,1936-01-01,CZE - Czechoslovakia.txt
CZE,light_tank_chassis_1,LT vz. 35,1936-01-01,CZE - Czechoslovakia.txt
CZE,light_tank_chassis_2,TNH,1936-01-01,CZE - Czechoslovakia.txt
CZE,small_plane_airframe_0,Avia B.534,1936-01-01,CZE - Czechoslovakia.txt
CZE,small_plane_cas_airframe_0,Aero A.101,1936-01-01,CZE - Czechoslovakia.txt
CZE,small_plane_cas_airframe_0,Letov S-16,1936-01-01,CZE - Czechoslovakia.txt
DDR,ship_hull_cruiser_panzerschiff,Deutschland Class,1936-01-01,DDR - East Germany.txt
DDR,ship_hull_cruiser_2,Königsberg Class,1936-01-01,DDR - East Germany.txt
DDR,light_cruiser_1,Königsberg Class,1936-01-01,DDR - East Germany.txt
DDR,heavy_cruiser_1,Deutschland Class,1936-01-01,DDR - East Germany.txt
DDR,submarine_2,Type VIIA,1939-01-01,DDR - East Germany.txt
DDR,destroyer_2,Zerstörer 1936,1939-01-01,DDR - East Germany.txt
DDR,heavy_cruiser_1,Deutschland Class,1939-01-01,DDR - East Germany.txt
DDR,ship_hull_light_2,Zerstörer 1936 Class,1939-01-01,DDR - East Germany.txt
DEN,ship_hull_submarine_1,Rota Class,1936-01-01,DEN - Denmark.txt
DEN,ship_hull_cruiser_coastal_defense_ship,Herluf Trolle Class,1936-01-01,DEN - Denmark.txt
DEN,ship_hull_cruiser_coastal_defense_ship,Niels Iuel Class,1936-01-01,DEN - Denmark.txt
DEN,ship_hull_submarine_1,Havmanden Class,1939-01-01,DEN - Denmark.txt
ENG,submarine_1,O/P/R Class,1936-01-01,ENG - Britain.txt
ENG,submarine_1,S Class,1936-01-01,ENG - Britain.txt
ENG,destroyer_1,A/B/C/D Class,1936-01-01,ENG - Britain.txt
ENG,light_cruiser_1,Emerald Class,1936-01-01,ENG - Britain.txt
ENG,light_cruiser_1,Amphion Class,1936-01-01,ENG - Britain.txt
ENG,heavy_cruiser_1,County Class,1936-01-01,ENG - Britain.txt
ENG,battle_cruiser_1,Admiral Class,1936-01-01,ENG - Britain.txt
ENG,battleship_1,Nelson Class,1936-01-01,ENG - Britain.txt
ENG,battleship_1,Queen Elizabeth Class,1936-01-01,ENG - Britain.txt
ENG,light_tank_chassis_1,Light Tank Mk. IV,1936-01-01,ENG - Britain.txt
ENG,light_tank_chassis_1,Light Tank Mk. VI,1936-01-01,ENG - Britain.txt
ENG,medium_tank_chassis_0,Medium Mk. II,1936-01-01,ENG - Britain.txt
ENG,light_tank_chassis_0,Vickers 6 ton A,1936-01-01,ENG - Britain.txt
ENG,light_tank_chassis_0,Vickers 6 ton B,1936-01-01,ENG - Britain.txt
ENG,ship_hull_submarine_1,O/P/R Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_submarine_1,S Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_light_1,A/B/C/D Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_light_2,E/F/G/H Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_light_1,V/W Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_light_1,S Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_cruiser_1,C-Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_cruiser_1,Danae Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_cruiser_2,Emerald Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_cruiser_2,Leander Class,1936-01-01,ENG - Britain.txt
ENG,ship_hull_cruiser_1,Adventure Class,1936-01-01,ENG - Britain.txt
