focus_tree_id,initial_x,initial_y,source_file
afghanistan_tree,,,afghanistan.txt
argentine_focus_tree,25,0,argentina.txt
australian_focus,,,australia.txt
austria_focus_tree,38,0,austria.txt
austro_hungarian_releasable_focus,,,austro_hungarian_releasable_shared.txt
belgium_focus,,,belgium.txt
brazil_tree,27,0,brazil.txt
bulgarian_focus,,,bulgaria.txt
canadian_focus,,,canada.txt
chilean_focus_tree,35,0,chile.txt
china_communist_focus,,,china_communist.txt
china_communist_focus_sea,,,china_communist_sea.txt
china_communist_warlord_focus,,,china_communist_warlord_TSR.txt
china_nationalist_focus,,,china_nationalist.txt
china_nationalist_sea_focus,40,0,china_nationalist_sea.txt
china_nationalist_warlord_focus,,,china_nationalist_warlord_TSR.txt
china_warlord_focus,,,china_warlord.txt
china_warlord_sea_focus,,,china_warlord_sea.txt
congo_focus,,,congo.txt
czech_focus,,,czechoslovakia.txt
danish_focus,,,denmark.txt
estonia_tree,,,estonia.txt
ethiopia_tree,38,0,ethiopia.txt
finnish_focus,23,0,finland.txt
french_focus,,,france.txt
free_french_focus,,,free_france.txt
generic_focus,,,generic.txt
german_focus,76,0,germany.txt
greek_focus,,,greece.txt
horn_of_africa_tree,12,0,horn_of_africa.txt
hungarian_focus,,,hungary.txt
wuw_hungarian_focus,,,hungary_wuw.txt
iceland_tree,20,0,iceland.txt
indian_focus,,,india.txt
indian_focus_goe,,,india_goe.txt
iraq_focus,,,iraq.txt
italian_focus,0,0,italy.txt
japan_wtt_focus,,,japan.txt
latvia_tree,,,latvia.txt
lithuania_tree,,,lithuania.txt
manchukuo_focus,,,manchukuo.txt
manchukuo_focus_tsr,,,manchukuo_TSR.txt
mexico_focus_tree,,,mexico.txt
netherlands_focus,,,netherlands.txt
new_zealander_focus,,,new_zealand.txt
norwegian_focus,,,norway.txt
paraguay_focus,10,0,paraguay.txt
persian_focus_tree,25,0,persia.txt
philippines_focus,,,philippines.txt
polish_focus,,,poland.txt
portuguese_focus,,,portugal.txt
romanian_focus,,,romania.txt
south_african_focus,,,south_africa.txt
soviet_focus,,,soviet.txt
spanish_focus,33,0,spain.txt
sweden_focus,37,0,sweden.txt
swiss_focus,36,0,switzerland.txt
turkish_focus,20,0,turkey.txt
british_focus,,,uk.txt
uruguay_focus,10,0,uruguay.txt
usa_focus,,,usa.txt
vichy_french_focus,,,vichy_france.txt
yugoslavian_focus,,,yugoslavia.txt
