idea_key,slot,is_law,cost,removal_cost,is_default,source_file
add_production_efficiency,country,no,,-1,no,_debug_spirits.txt
decrease_production_efficiency,country,no,,-1,no,_debug_spirits.txt
undisturbed_isolation,economy,yes,,-1,no,_economic.txt
isolation,economy,yes,,-1,no,_economic.txt
civilian_economy,economy,yes,150,-1,yes,_economic.txt
low_economic_mobilisation,economy,yes,150,-1,no,_economic.txt
partial_economic_mobilisation,economy,yes,150,-1,no,_economic.txt
war_economy,economy,yes,150,-1,no,_economic.txt
tot_economic_mobilisation,economy,yes,150,-1,no,_economic.txt
totaler_krieg_economy,economy,yes,150,-1,no,_economic.txt
national_defense_state,economy,yes,150,-1,no,_economic.txt
new_economic_policy,economy,yes,,-1,no,_economic.txt
new_economic_policy_2,economy,yes,,-1,no,_economic.txt
capital_investment_model,economy,yes,,-1,no,_economic.txt
JAP_war_communism_idea,economy,yes,,-1,no,_economic.txt
uncontrolled_exports,trade_laws,yes,,-1,no,_economic.txt
free_trade,trade_laws,yes,150,-1,no,_economic.txt
export_focus,trade_laws,yes,150,-1,yes,_economic.txt
limited_exports,trade_laws,yes,150,-1,no,_economic.txt
autarkic_economy,trade_laws,yes,150,-1,no,_economic.txt
autarkic_economy_improved,trade_laws,yes,150,-1,no,_economic.txt
closed_economy,trade_laws,yes,150,-1,no,_economic.txt
special_economic_zones,trade_laws,yes,0,-1,no,_economic.txt
GEN_cheaper_amphib,hidden_ideas,no,,,no,_event.txt
fascist_assault_divisions,country,no,,,no,_event.txt
communist_partisans_recruiting,country,no,,,no,_event.txt
democratic_opposition_voicing_protests,country,no,,,no,_event.txt
fascist_revolutionaries,country,no,,-1,no,_event.txt
communist_revolutionaries,country,no,,-1,no,_event.txt
democratic_revolutionaries,country,no,,-1,no,_event.txt
fascism_defeated,country,no,,-1,no,_event.txt
communism_defeated,country,no,,-1,no,_event.txt
reign_of_terror,country,no,,-1,no,_event.txt
anti_soviet_pact,country,no,,-1,no,_event.txt
anti_soviet_pact_refused_call,country,no,,-1,no,_event.txt
anti_nazi_coup,country,no,,-1,no,_event.txt
shattered_government,country,no,,-1,no,_event.txt
political_turmoil,country,no,,-1,no,_event.txt
cruiser_submarine_specialization,country,no,,-1,no,_event.txt
cruiser_submarine_specialization_mtg,country,no,,-1,no,_event.txt
fleet_submarine_specialization_mtg,country,no,,-1,no,_event.txt
fleet_submarine_specialization,country,no,,-1,no,_event.txt
torpedo_cruisers_ns,country,no,,-1,no,_event.txt
torpedo_cruisers_ns_mtg,country,no,,-1,no,_event.txt
habakkuk_carriers_ns,country,no,,-1,no,_event.txt
habakkuk_carriers_ns_mtg,country,no,,-1,no,_event.txt
midget_submarine_specialization,country,no,,-1,no,_event.txt
midget_submarine_specialization_mtg,country,no,,-1,no,_event.txt
alternate_political_infiltrated_opposition,country,no,,-1,no,_event.txt
alternate_political_dockworker_strike,country,no,,-1,no,_event.txt
alternate_political_dockworker_strike_demands_met,country,no,,-1,no,_event.txt
alternate_political_major_protest,country,no,,-1,no,_event.txt
alternate_political_corruption_exposed,country,no,,-1,no,_event.txt
disarmed_nation,mobilization_laws,yes,150,-1,no,_manpower.txt
volunteer_only,mobilization_laws,yes,150,-1,yes,_manpower.txt
limited_conscription,mobilization_laws,yes,150,-1,no,_manpower.txt
extensive_conscription,mobilization_laws,yes,150,-1,no,_manpower.txt
service_by_requirement,mobilization_laws,yes,150,-1,no,_manpower.txt
all_adults_serve,mobilization_laws,yes,150,-1,no,_manpower.txt
scraping_the_barrel,mobilization_laws,yes,150,-1,no,_manpower.txt
ETH_chitet_law,mobilization_laws,yes,150,-1,yes,_manpower.txt
ETH_chitet_law_peace_time,mobilization_laws,yes,150,-1,yes,_manpower.txt
SWI_citizen_militia_1,mobilization_laws,yes,200,-1,no,_manpower.txt
