upgrade_key,branch_key,picture,frame,sound
upgrade_economy_civilian,branch_intelligence,GFX_agency_economy_department,GFX_upgrade_frame_economy,Spy_Agency_Intel_Upgrades_Confirm
upgrade_army_department,branch_intelligence,GFX_agency_army_department,GFX_upgrade_frame_army,Spy_Agency_Intel_Upgrades_Confirm
upgrade_naval_department,branch_intelligence,GFX_agency_naval_department,GFX_upgrade_frame_naval,Spy_Agency_Intel_Upgrades_Confirm
upgrade_airforce_department,branch_intelligence,GFX_agency_airforce_department,GFX_upgrade_frame_airforce,Spy_Agency_Intel_Upgrades_Confirm
upgrade_passive_defense,branch_defense,GFX_agency_defense_department,GFX_upgrade_frame_defense,Spy_Agency_Defense_Upgrades_Confirm
upgrade_anti_partisan,branch_defense,GFX_agency_anti_partisan,,Spy_Agency_Defense_Upgrades_Confirm
upgrade_blueprint_stealing,branch_operation,GFX_agency_steal_blueprints,,Spy_Agency_Operations_Upgrades_Confirm
upgrade_portable_radios,branch_operation,GFX_agency_portable_radios,,Spy_Agency_Operations_Upgrades_Confirm
upgrade_invisible_ink,branch_operation,GFX_agency_invisible_ink,,Spy_Agency_Operations_Upgrades_Confirm
upgrade_plastic_explosives,branch_operation,GFX_agency_plastic_explosives,,Spy_Agency_Operations_Upgrades_Confirm
upgrade_suicide_pills,branch_operation,GFX_agency_suicide_pills,,Spy_Agency_Operations_Upgrades_Confirm
upgrade_training_centers,branch_operative,GFX_agency_localized_training_center,,
upgrade_commando_training,branch_operative,GFX_agency_commando_training,,Spy_Agency_Training_Facilities_Upgrades_Confirm
upgrade_interrogation_techniques,branch_operative,GFX_agency_interrogation_techniques,,Spy_Agency_Training_Facilities_Upgrades_Confirm
upgrade_diplo_training,branch_operative,GFX_agency_diplomatic_training,,Spy_Agency_Training_Facilities_Upgrades_Confirm
upgrade_psycho_warfare,branch_operative,GFX_agency_psychological_warfare,,Spy_Agency_Training_Facilities_Upgrades_Confirm
upgrade_form_department,branch_crypto,GFX_agency_form_department,GFX_upgrade_frame_form,Spy_Agency_Cryptology_Upgrades_Confirm
upgrade_decryption_boost,branch_crypto,GFX_agency_decryption_boost_1,,Spy_Agency_Cryptology_Upgrades_Confirm
upgrade_decryption_boost_2,branch_crypto,GFX_agency_decryption_boost_2,,Spy_Agency_Cryptology_Upgrades_Confirm
upgrade_crypto_strength,branch_crypto,GFX_agency_cryptology_2,,Spy_Agency_Cryptology_Upgrades_Confirm
upgrade_crypto_strength_2,branch_crypto,GFX_agency_cryptology_1,,Spy_Agency_Cryptology_Upgrades_Confirm
