agency_id,name
1,Office of Strategic Services
2,MI6
2,SIS
3,NKVD
4,Deuxième Bureau
5,Abwehr
6,Stasi
7,G-2 Department
7,Section 3
8,Kempeitai
9,Servizio Informazioni Militare
10,C-byrån
11,E-tjenesten
12,ADIV
12,SGRS
13,VSSE
14,Veiligheid van de Staat
15,Bureau Inlichtingen
16,Serviciul Special de Informatii
17,Intelligence Department Central Military Commission
18,Central Social Affairs Department
19,NBIS
20,NBIS
21,Intelligence Department Central Military Commission
22,NKVD
23,OZNA
24,SIM
25,SIPM
26,Dwójka
27,Hoankyoku
28,PIDE
29,PE TIEDOS
30,Millî Emniyet Hizmeti
31,Diéfthynsi Eidikís Asfaleías tou Krátous
31,I Eidikí
32,Natsionalnata Razuznavatelna Sluzhba
36,Buero Ha
37,Federal Police
38,Sikkerhedspolitiet
39,Lögreglan
40,Royal Canadian Mounted Police
41,Policía de Investigaciones de Chile
42,VKF 2
43,Államvédelmi Hatóság
44,Evidenzbureau
45,EICI
46,Evidenzbureau
47,Departamento de Ordem
48,S.I.
49,Service National d'Identification et de Protection
50,Service National d'Intelligence et de Protection
51,Mudiria al-Amn al-'Amm
52,Mudiriyyat al-Istikhabarat al-'Askariyya al-'Amma
53,Istikhbarat
54,KHAD
55,National Directorate of Security
56,SAVAK
57,Research and Analysis Wing
58,Inter-Services Intelligence
59,National Security Intelligence
60,Rooke
61,Tower
62,Snake
63,Stag
64,Golden Lion
65,Arrow
66,Lion Head
67,Golden Eagle
68,Hammer and Sickle
