medal_key,tier,variable,threshold_value,compare
stalwart_defender_medal,bronze,,,
stalwart_defender_medal,silver,,,
stalwart_defender_medal,gold,,,
shield_medal,bronze,,,
shield_medal,silver,,,
shield_medal,gold,,,
military_planner_medal,bronze,,,
military_planner_medal,silver,,,
military_planner_medal,gold,,,
combat_efficiency_medal,bronze,,,
combat_efficiency_medal,silver,,,
combat_efficiency_medal,gold,,,
grand_encirclement_medal,bronze,,,
grand_encirclement_medal,silver,,,
grand_encirclement_medal,gold,,,
military_mastery_medal,bronze,,,
military_mastery_medal,silver,,,
military_mastery_medal,gold,,,
turning_the_tide_medal,bronze,,,
turning_the_tide_medal,silver,,,
turning_the_tide_medal,gold,,,
lord_of_the_seas_medal,bronze,,,
lord_of_the_seas_medal,silver,,,
lord_of_the_seas_medal,gold,,,
veterancy_medal,bronze,,,
veterancy_medal,silver,,,
veterancy_medal,gold,,,
sky_supplies_medal,bronze,,,
sky_supplies_medal,silver,,,
sky_supplies_medal,gold,,,
paradrop_medal,bronze,,,
paradrop_medal,silver,,,
paradrop_medal,gold,,,
naval_invasion_medal,bronze,,,
naval_invasion_medal,silver,,,
naval_invasion_medal,gold,,,
land_acquisition_medal,bronze,,,
land_acquisition_medal,silver,,,
land_acquisition_medal,gold,,,
raining_debris_medal,bronze,,,
raining_debris_medal,silver,,,
raining_debris_medal,gold,,,
production_is_power,bronze,,,
production_is_power,silver,,,
production_is_power,gold,,,
engineering_behemoth_medal,bronze,,,
engineering_behemoth_medal,silver,,,
engineering_behemoth_medal,gold,,,
castles_in_the_air_medal,bronze,,,
castles_in_the_air_medal,silver,,,
castles_in_the_air_medal,gold,,,
nevermine_me_medal,bronze,,,
nevermine_me_medal,silver,,,
nevermine_me_medal,gold,,,
brains_and_brute_force,bronze,,,
brains_and_brute_force,silver,,,
brains_and_brute_force,gold,,,
cargo_embargo,bronze,,,
cargo_embargo,silver,,,
cargo_embargo,gold,,,
a_modern_verdun,bronze,,,
a_modern_verdun,silver,,,
a_modern_verdun,gold,,,
i_am_inevitable,bronze,,,
i_am_inevitable,silver,,,
i_am_inevitable,gold,,,
quality_over_quantity,bronze,,,
quality_over_quantity,silver,,,
quality_over_quantity,gold,,,
finesse_is_faster,bronze,,,
finesse_is_faster,silver,,,
finesse_is_faster,gold,,,
experimental_science_mastery,bronze,,,
experimental_science_mastery,silver,,,
experimental_science_mastery,gold,,,
race_for_the_bomb,bronze,,,
race_for_the_bomb,silver,,,
race_for_the_bomb,gold,,,
knowledge_is_power,bronze,,,
knowledge_is_power,silver,,,
knowledge_is_power,gold,,,
grand_strategikon,bronze,,,
grand_strategikon,silver,,,
grand_strategikon,gold,,,
pactweaver,bronze,,,
pactweaver,silver,,,
pactweaver,gold,,,
overachiever,bronze,,,
overachiever,silver,,,
overachiever,gold,,,
