group_key,equipment_type
mio_cat_eq_all_light_tank,light_tank_chassis
mio_cat_eq_all_light_tank,amphibious_tank_chassis
mio_cat_eq_all_medium_tank,medium_tank_chassis
mio_cat_eq_all_medium_tank,modern_tank_chassis
mio_cat_eq_all_heavy_tank,heavy_tank_chassis
mio_cat_eq_all_heavy_tank,super_heavy_tank_chassis
mio_cat_eq_all_tank_destroyers,light_tank_destroyer_chassis
mio_cat_eq_all_tank_destroyers,medium_tank_destroyer_chassis
mio_cat_eq_all_tank_destroyers,heavy_tank_destroyer_chassis
mio_cat_eq_all_tank_destroyers,super_heavy_tank_destroyer_chassis
mio_cat_eq_all_tank_destroyers,modern_tank_destroyer_chassis
mio_cat_eq_all_tanks,light_tank_chassis
mio_cat_eq_all_tanks,amphibious_tank_chassis
mio_cat_eq_all_tanks,medium_tank_chassis
mio_cat_eq_all_tanks,modern_tank_chassis
mio_cat_eq_all_tanks,heavy_tank_chassis
mio_cat_eq_all_tanks,super_heavy_tank_chassis
mio_cat_eq_all_tanks,light_tank_destroyer_chassis
mio_cat_eq_all_tanks,medium_tank_destroyer_chassis
mio_cat_eq_all_tanks,heavy_tank_destroyer_chassis
mio_cat_eq_all_tanks,super_heavy_tank_destroyer_chassis
mio_cat_eq_all_tanks,modern_tank_destroyer_chassis
mio_cat_eq_all_carrier,ship_hull_carrier
mio_cat_eq_all_cruiser,ship_hull_cruiser
mio_cat_eq_all_destroyer,ship_hull_light
mio_cat_eq_all_battleship,ship_hull_heavy
mio_cat_eq_all_ships_no_convoys,ship_hull_carrier
mio_cat_eq_all_ships_no_convoys,ship_hull_cruiser
mio_cat_eq_all_ships_no_convoys,ship_hull_light
mio_cat_eq_all_ships_no_convoys,ship_hull_heavy
mio_cat_eq_all_ships_no_convoys,ship_hull_submarine
mio_cat_eq_all_small_plane,small_plane_airframe
mio_cat_eq_all_small_plane,cv_small_plane_airframe
mio_cat_eq_all_medium_plane,medium_plane_airframe
mio_cat_eq_all_large_plane,large_plane_airframe
mio_cat_eq_all_large_plane,strat_bomber_intercontinental_equipment
mio_cat_eq_all_large_plane,mothership_equipment
mio_cat_eq_all_cv_aircraft,cv_small_plane_airframe
mio_cat_eq_only_light_fighter,small_plane_airframe_0
mio_cat_eq_only_light_fighter,small_plane_airframe_1
mio_cat_eq_only_light_fighter,small_plane_airframe_2
mio_cat_eq_only_light_fighter,small_plane_airframe_3
mio_cat_eq_only_light_fighter,small_plane_airframe_4
mio_cat_eq_only_light_fighter,small_plane_airframe_5
mio_cat_eq_only_light_fighter,cv_small_plane_airframe_0
mio_cat_eq_only_light_fighter,cv_small_plane_airframe_1
mio_cat_eq_only_light_fighter,cv_small_plane_airframe_2
mio_cat_eq_only_light_fighter,cv_small_plane_airframe_3
mio_cat_eq_only_light_fighter,cv_small_plane_airframe_4
mio_cat_eq_only_light_fighter,fighter_equipment_0
mio_cat_eq_only_light_fighter,fighter_equipment_1
mio_cat_eq_only_light_fighter,fighter_equipment_2
mio_cat_eq_only_light_fighter,fighter_equipment_3
mio_cat_eq_only_light_fighter,cv_fighter_equipment_0
mio_cat_eq_only_light_fighter,cv_fighter_equipment_1
mio_cat_eq_only_light_fighter,cv_fighter_equipment_2
mio_cat_eq_only_light_fighter,cv_fighter_equipment_3
mio_cat_eq_only_light_fighter,jet_fighter_equipment
mio_cat_eq_only_light_fighter,rocket_interceptor_equipment
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_0
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_1
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_2
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_3
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_4
mio_cat_eq_only_light_fighter_no_cv,small_plane_airframe_5
mio_cat_eq_only_light_fighter_no_cv,fighter_equipment_0
mio_cat_eq_only_light_fighter_no_cv,fighter_equipment_1
mio_cat_eq_only_light_fighter_no_cv,fighter_equipment_2
mio_cat_eq_only_light_fighter_no_cv,fighter_equipment_3
mio_cat_eq_only_light_fighter_no_cv,jet_fighter_equipment
mio_cat_eq_only_light_fighter_no_cv,rocket_interceptor_equipment
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_0
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_1
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_2
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_3
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_4
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_airframe_5
mio_cat_eq_only_light_fighter_and_CAS_no_cv,fighter_equipment_0
mio_cat_eq_only_light_fighter_and_CAS_no_cv,fighter_equipment_1
mio_cat_eq_only_light_fighter_and_CAS_no_cv,fighter_equipment_2
mio_cat_eq_only_light_fighter_and_CAS_no_cv,fighter_equipment_3
mio_cat_eq_only_light_fighter_and_CAS_no_cv,jet_fighter_equipment
mio_cat_eq_only_light_fighter_and_CAS_no_cv,rocket_interceptor_equipment
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_cas_airframe_0
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_cas_airframe_1
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_cas_airframe_2
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_cas_airframe_3
mio_cat_eq_only_light_fighter_and_CAS_no_cv,small_plane_cas_airframe_4
mio_cat_eq_only_light_fighter_and_CAS_no_cv,CAS_equipment_1
mio_cat_eq_only_light_fighter_and_CAS_no_cv,CAS_equipment_2
mio_cat_eq_only_light_fighter_and_CAS_no_cv,CAS_equipment_3
mio_cat_eq_only_tactical_bomber,medium_plane_airframe_0
mio_cat_eq_only_tactical_bomber,medium_plane_airframe_1
mio_cat_eq_only_tactical_bomber,medium_plane_airframe_2
mio_cat_eq_only_tactical_bomber,medium_plane_airframe_3
mio_cat_eq_only_tactical_bomber,medium_plane_airframe_4
mio_cat_eq_only_tactical_bomber,tac_bomber_equipment_0
mio_cat_eq_only_tactical_bomber,tac_bomber_equipment_1
mio_cat_eq_only_tactical_bomber,tac_bomber_equipment_2
mio_cat_eq_only_tactical_bomber,tac_bomber_equipment_3
mio_cat_eq_only_tactical_bomber,jet_tac_bomber_equipment
mio_cat_eq_only_strategic_bomber,large_plane_airframe_0
mio_cat_eq_only_strategic_bomber,large_plane_airframe_1
mio_cat_eq_only_strategic_bomber,large_plane_airframe_2
mio_cat_eq_only_strategic_bomber,large_plane_airframe_3
mio_cat_eq_only_strategic_bomber,large_plane_airframe_4
mio_cat_eq_only_strategic_bomber,strat_bomber_equipment_1
mio_cat_eq_only_strategic_bomber,strat_bomber_equipment_2
mio_cat_eq_only_strategic_bomber,strat_bomber_equipment_3
mio_cat_eq_only_strategic_bomber,jet_strat_bomber_equipment
mio_cat_eq_only_strategic_bomber,strat_bomber_intercontinental_equipment
mio_cat_eq_only_strategic_bomber,mothership_equipment
mio_cat_eq_all_artillery,artillery_equipment
mio_cat_eq_all_artillery,anti_tank_equipment
mio_cat_eq_all_artillery,anti_air_equipment
mio_cat_eq_all_artillery,rocket_artillery_equipment
mio_cat_eq_all_infantry_and_support_equipment,infantry_equipment
mio_cat_eq_all_infantry_and_support_equipment,support_equipment
