template_key,icon,dlc_source,source_file
generic_tank_organization,GFX_idea_generic_tank_manufacturer_1,Poland: United and Ready,00_generic_organization.txt
generic_infantry_tank_organization,GFX_idea_generic_tank_manufacturer_3,,00_generic_organization.txt
generic_assault_guns_organization,GFX_idea_generic_tank_manufacturer_3,,00_generic_organization.txt
generic_mobile_tank_organization,GFX_idea_generic_tank_manufacturer_3,,00_generic_organization.txt
generic_medium_tank_organization,GFX_idea_generic_tank_manufacturer_2,,00_generic_organization.txt
generic_heavy_tank_organization,GFX_idea_generic_tank_manufacturer_3,,00_generic_organization.txt
generic_tank_refurbishment_plant_organization,GFX_idea_generic_tank_manufacturer_3,,00_generic_organization.txt
generic_task_force_ship_organization,GFX_idea_generic_naval_manufacturer_1,,00_generic_organization.txt
generic_battle_line_ship_organization,GFX_idea_generic_naval_manufacturer_2,,00_generic_organization.txt
generic_escort_ship_organization,GFX_idea_generic_naval_manufacturer_1,Poland: United and Ready,00_generic_organization.txt
generic_raider_ship_organization,GFX_idea_generic_naval_manufacturer_3,Arms Against Tyranny,00_generic_organization.txt
generic_submarine_organization,GFX_idea_generic_naval_manufacturer_1,Man the Guns,00_generic_organization.txt
generic_black_sea_fleet_organization,GFX_idea_generic_naval_manufacturer_2,,00_generic_organization.txt
generic_refurbishment_repair_organization,GFX_idea_generic_naval_manufacturer_1,,00_generic_organization.txt
generic_general_aircraft_organization,GFX_idea_generic_air_manufacturer_1,Poland: United and Ready,00_generic_organization.txt
generic_light_aircraft_organization,GFX_idea_generic_air_manufacturer_1,,00_generic_organization.txt
generic_medium_aircraft_organization,GFX_idea_generic_air_manufacturer_3,,00_generic_organization.txt
generic_heavy_aircraft_organization,GFX_idea_generic_air_manufacturer_2,,00_generic_organization.txt
generic_cas_aircraft_organization,GFX_idea_generic_air_manufacturer_1,,00_generic_organization.txt
generic_naval_aircraft_organization,GFX_idea_generic_air_manufacturer_1,,00_generic_organization.txt
generic_multi_role_aircraft_organization,GFX_idea_generic_air_manufacturer_3,,00_generic_organization.txt
generic_high_agility_fighter_aircraft_organization,GFX_idea_generic_air_manufacturer_1,,00_generic_organization.txt
generic_range_focused_aircraft_organization,GFX_idea_generic_air_manufacturer_1,,00_generic_organization.txt
generic_artillery_organization,GFX_idea_generic_artillery_manufacturer_2,Poland: United and Ready,00_generic_organization.txt
generic_infantry_equipment_organization,GFX_idea_generic_infantry_equipment_manufacturer_2,Poland: United and Ready,00_generic_organization.txt
generic_support_equipment_organization,GFX_idea_generic_infantry_equipment_manufacturer_1,,00_generic_organization.txt
generic_motorized_mechanized_organization,GFX_idea_generic_motorized_equipment_manufacturer_3,Poland: United and Ready,00_generic_organization.txt
generic_armored_car_organization,GFX_idea_generic_tank_manufacturer_1,La Resistance,00_generic_organization.txt
generic_helicopter_organization,GFX_idea_generic_helicopter_1,Gotterdammerung,00_generic_organization.txt
CHI_shanghai_arsenal,GFX_idea_CHI_shanghai_arsenal,"No Compromise, No Surrender",CHI_organization.txt
my_custom_mio,GFX_industrial_org_trait_placeholder,,mio.txt
my_capital_ship_mio,GFX_industrial_org_trait_placeholder,,mio.txt
my_task_decrease_mio,GFX_industrial_org_trait_placeholder,,mio.txt
