trait_token,parent_token,requirement_type
generic_mio_trait_improved_tracks,generic_mio_trait_simplified_suspension,any_parent
generic_mio_trait_command_upgrades,generic_mio_trait_crew_ergonomics,any_parent
generic_mio_trait_standardized_components,generic_mio_trait_simplified_suspension,all_parent
generic_mio_trait_standardized_components,generic_mio_trait_crew_ergonomics,all_parent
generic_mio_trait_improved_tooling,generic_mio_trait_improved_tracks,all_parent
generic_mio_trait_improved_tooling,generic_mio_trait_standardized_components,all_parent
generic_mio_trait_improved_tooling,generic_mio_trait_command_upgrades,all_parent
generic_mio_trait_mass_production,generic_mio_trait_improved_tooling,any_parent
generic_mio_trait_quality_improvements,generic_mio_trait_improved_tooling,any_parent
generic_mio_trait_long_barreled_guns,generic_mio_trait_crew_ergonomics,all_parent
generic_mio_trait_long_barreled_guns,generic_mio_trait_defensive_equipment,all_parent
generic_mio_trait_anti_tank_specialization,generic_mio_trait_long_barreled_guns,any_parent
generic_mio_trait_infantry_support_tanks,generic_mio_trait_long_barreled_guns,any_parent
generic_mio_trait_interleaved_track_wheels,generic_mio_trait_single_engine,any_parent
generic_mio_trait_interleaved_track_wheels,generic_mio_trait_dual_engine_redundancy,any_parent
generic_mio_trait_overlapped_track_wheels,generic_mio_trait_single_engine,any_parent
generic_mio_trait_overlapped_track_wheels,generic_mio_trait_dual_engine_redundancy,any_parent
generic_mio_trait_adaptable_turret_ring,generic_mio_trait_battle_tank_specifications,any_parent
generic_mio_trait_turret_sights,generic_mio_trait_adaptable_turret_ring,any_parent
generic_mio_trait_close_support_role,generic_mio_trait_battle_tank_specifications,any_parent
generic_mio_trait_anti_tank_role,generic_mio_trait_battle_tank_specifications,any_parent
generic_mio_trait_adaptable_chassis,generic_mio_trait_close_support_role,any_parent
generic_mio_trait_adaptable_chassis,generic_mio_trait_anti_tank_role,any_parent
generic_mio_trait_light_tank_specialization,generic_mio_trait_adaptable_chassis,any_parent
generic_mio_trait_medium_tank_specialization,generic_mio_trait_adaptable_chassis,any_parent
generic_mio_trait_heavy_tank_specialization,generic_mio_trait_adaptable_chassis,any_parent
generic_mio_trait_thick_armor,generic_mio_trait_battle_tank_specifications,any_parent
generic_mio_trait_even_thicker_armor,generic_mio_trait_thick_armor,any_parent
generic_mio_trait_light_assault_gun_anti_tank_combo,generic_mio_trait_light_assault_gun_improvements,all_parent
generic_mio_trait_light_assault_gun_improved_cannon_stabilization,generic_mio_trait_light_assault_gun_improvements,all_parent
generic_mio_trait_light_assault_gun_10_5_iefh_ammunition,generic_mio_trait_light_assault_gun_improvements,all_parent
generic_mio_lighter_materials_assault_guns,generic_mio_trait_medium_assault_gun_improvements,any_parent
generic_mio_lighter_materials_assault_guns,generic_mio_trait_light_assault_gun_improvements,any_parent
generic_mio_armor_hardening_process_assault_guns,generic_mio_trait_medium_assault_gun_improvements,any_parent
generic_mio_armor_hardening_process_assault_guns,generic_mio_trait_heavy_assault_gun_improvements,any_parent
generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment,generic_mio_lighter_materials_assault_guns,any_parent
generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment,generic_mio_armor_hardening_process_assault_guns,any_parent
generic_mio_medium_assault_gun_75_mm_43M_tank_gun,generic_mio_trait_medium_assault_gun_improvements,any_parent
generic_mio_medium_assault_gun_75_mm_43M_tank_gun,generic_mio_trait_heavy_assault_gun_improvements,any_parent
generic_mio_trait_fully_cast_turret_assault_gun,generic_mio_trait_heavy_assault_gun_improvements,all_parent
generic_mio_trait_assault_gun_improved_tracks,generic_mio_trait_heavy_assault_gun_improvements,all_parent
generic_mio_medium_assault_gun_rocket_tubes,generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment,all_parent
generic_mio_engine_optimization,generic_mio_trait_improved_boogies,all_parent
generic_mio_reduced_fuel_usage,generic_mio_trait_improved_boogies,all_parent
generic_mio_improved_ventilation,generic_mio_engine_optimization,any_parent
generic_mio_improved_ventilation,generic_mio_reduced_fuel_usage,any_parent
generic_mio_improved_tracks_and_suspension,generic_mio_improved_ventilation,all_parent
generic_mio_lighter_materials,generic_mio_sloping_armor,all_parent
generic_mio_armor_hardening_process,generic_mio_sloping_armor,all_parent
generic_mio_enlarged_breech,generic_mio_lighter_materials,any_parent
generic_mio_enlarged_breech,generic_mio_armor_hardening_process,any_parent
generic_mio_gunner_sight_improvements,generic_mio_enlarged_breech,all_parent
generic_mio_quality_assurance_routines,generic_mio_trait_improved_boogies,all_parent
generic_mio_quality_assurance_routines,generic_mio_sloping_armor,all_parent
generic_mio_streamlined_production,generic_mio_quality_assurance_routines,all_parent
generic_mio_streamlined_production,generic_mio_improved_ventilation,all_parent
generic_mio_streamlined_production,generic_mio_enlarged_breech,all_parent
generic_mio_trait_all_round_cupola,generic_mio_trait_power_traverse,all_parent
generic_mio_trait_simplified_turret_design,generic_mio_trait_all_round_cupola,all_parent
generic_mio_trait_specialist_shells,generic_mio_trait_simplified_turret_design,all_parent
generic_mio_trait_improved_gun_metallurgy,generic_mio_trait_simplified_turret_design,all_parent
generic_mio_trait_advanced_shells,generic_mio_trait_specialist_shells,any_parent
generic_mio_trait_advanced_shells,generic_mio_trait_improved_gun_metallurgy,any_parent
generic_mio_trait_spaced_armor,generic_mio_trait_armor_steel_working,all_parent
generic_mio_trait_crew_survival_layout,generic_mio_trait_armor_steel_working,all_parent
generic_mio_trait_sloped_side_armor,generic_mio_trait_armor_steel_working,all_parent
generic_mio_trait_improved_suspension,generic_mio_trait_truck_engines,any_parent
generic_mio_trait_improved_suspension,generic_mio_trait_aircraft_engines,any_parent
generic_mio_trait_fire_extinguishers,generic_mio_trait_wide_tracks,all_parent
generic_mio_trait_simplified_transmission_system,generic_mio_trait_wide_tracks,all_parent
generic_mio_trait_simplified_transmission_system,generic_mio_trait_one_piece_hull_side_coverings,all_parent
generic_mio_trait_improved_engine_output,generic_mio_trait_simplified_transmission_system,all_parent
generic_mio_trait_sloping_armor,generic_mio_trait_one_piece_hull_side_coverings,all_parent
generic_mio_trait_improved_crew_ergonomics,generic_mio_trait_sloping_armor,all_parent
generic_mio_trait_reinforced_construction,generic_mio_trait_sloping_armor,all_parent
generic_mio_trait_commander_cupola,generic_mio_trait_fully_cast_turret,all_parent
generic_mio_trait_simplified_layout,generic_mio_trait_fully_cast_turret,all_parent
generic_mio_trait_high_explosive_shells,generic_mio_trait_commander_cupola,any_parent
generic_mio_trait_high_explosive_shells,generic_mio_trait_simplified_layout,any_parent
generic_mio_trait_apcr_hvap_shells,generic_mio_trait_commander_cupola,any_parent
generic_mio_trait_apcr_hvap_shells,generic_mio_trait_simplified_layout,any_parent
generic_mio_trait_efficient_scrap_recycling,generic_mio_trait_enemy_tank_refitting,any_parent
generic_mio_trait_high_volume_smelter,generic_mio_trait_efficient_scrap_recycling,any_parent
generic_mio_trait_high_powered_engine_production,generic_mio_trait_enemy_tank_refitting,any_parent
generic_mio_trait_heavy_duty_machine_tools,generic_mio_trait_high_powered_engine_production,all_parent
generic_mio_trait_heavy_duty_machine_tools,generic_mio_trait_high_volume_smelter,all_parent
generic_mio_trait_multi_plant_cooperation,generic_mio_trait_heavy_duty_machine_tools,any_parent
generic_mio_trait_mass_small_arms_ammunition_production,generic_mio_trait_standardized_secondary_armament,any_parent
generic_mio_trait_24h_rotation_shifts,generic_mio_trait_plant_tech_exchange,any_parent
generic_mio_trait_dual_plant_main_armament_production,generic_mio_trait_mass_small_arms_ammunition_production,all_parent
generic_mio_trait_dual_plant_main_armament_production,generic_mio_trait_24h_rotation_shifts,all_parent
generic_mio_trait_barrels_of_hell,generic_mio_trait_24h_rotation_shifts,all_parent
generic_mio_trait_barrels_of_hell,generic_mio_trait_long_distance_escort,all_parent
generic_mio_trait_splinter_protection,generic_mio_trait_long_range_cruising,any_parent
generic_mio_trait_splinter_protection,generic_mio_trait_high_speed_cruising,any_parent
generic_mio_trait_transom_stern,generic_mio_trait_splinter_protection,any_parent
generic_mio_trait_underway_replenishment_equipment,generic_mio_trait_splinter_protection,any_parent
generic_mio_trait_flight_deck_edge_aa_mounts,generic_mio_trait_secondary_fire_director_control,any_parent
generic_mio_trait_gyro_stabilized_mounts,generic_mio_trait_flight_deck_edge_aa_mounts,any_parent
generic_mio_trait_rapid_fire_guns,generic_mio_trait_secondary_fire_director_control,any_parent
generic_mio_trait_advanced_fitting_works,generic_mio_trait_rapid_fire_guns,any_parent
generic_mio_trait_advanced_fitting_works,generic_mio_trait_high_velocity_guns,any_parent
generic_mio_trait_carrier_flight_operations_center,generic_mio_trait_gyro_stabilized_mounts,all_parent
generic_mio_trait_carrier_flight_operations_center,generic_mio_trait_advanced_fitting_works,all_parent
generic_mio_trait_carrier_flight_operations_center,generic_mio_trait_splinter_protection,all_parent
generic_mio_trait_high_velocity_guns,generic_mio_trait_primary_fire_director_control,any_parent
generic_mio_trait_hardened_critical_components,generic_mio_trait_internal_armor_belt,any_parent
generic_mio_trait_hardened_critical_components,generic_mio_trait_external_armor_belt,any_parent
generic_mio_trait_advanced_hydrodynamic_design,generic_mio_trait_hardened_critical_components,any_parent
generic_mio_trait_advanced_armor_design,generic_mio_trait_hardened_critical_components,any_parent
generic_mio_trait_gyro_stabilized_mounts,generic_mio_trait_anti_air_layout,all_parent
generic_mio_trait_gyro_stabilized_mounts,generic_mio_trait_secondary_battery_layout,all_parent
generic_mio_trait_secondary_fire_director_control,generic_mio_trait_gyro_stabilized_mounts,any_parent
generic_mio_trait_combat_information_center,generic_mio_trait_hardened_critical_components,all_parent
generic_mio_trait_combat_information_center,generic_mio_trait_secondary_fire_director_control,all_parent
generic_mio_trait_combat_information_center,generic_mio_trait_super_heavy_shells,any_parent
generic_mio_trait_combat_information_center,generic_mio_trait_semi_armor_piercing_shells,any_parent
generic_mio_trait_combat_information_center,generic_mio_trait_high_velocity_guns,any_parent
generic_mio_trait_super_heavy_shells,generic_mio_trait_primary_battery_layout,any_parent
generic_mio_trait_semi_armor_piercing_shells,generic_mio_trait_primary_battery_layout,any_parent
generic_mio_trait_high_velocity_guns,generic_mio_trait_primary_battery_layout,any_parent
generic_mio_trait_high_speed_mine_hunting_equipment,generic_mio_trait_submarine_hunters,any_parent
generic_mio_trait_advanced_hydrodynamic_design,generic_mio_trait_high_speed_mine_hunting_equipment,any_parent
generic_mio_trait_anti_air_ships,generic_mio_trait_fleet_escorts,any_parent
generic_mio_trait_escort_in_force,generic_mio_trait_fleet_escorts,any_parent
generic_mio_trait_anti_air_layout,generic_mio_trait_fleet_escorts,any_parent
generic_mio_trait_improved_anti_air_gun_mounting,generic_mio_trait_anti_air_ships,any_parent
generic_mio_trait_improved_anti_air_gun_mounting,generic_mio_trait_escort_in_force,any_parent
generic_mio_trait_mass_production,generic_mio_trait_anti_air_ships,any_parent
generic_mio_trait_mass_production,generic_mio_trait_escort_in_force,any_parent
generic_mio_trait_improved_light_gun_mounting,generic_mio_trait_anti_air_ships,any_parent
generic_mio_trait_improved_light_gun_mounting,generic_mio_trait_escort_in_force,any_parent
generic_mio_trait_diesel_powerplants,generic_mio_trait_long_range_raiding,any_parent
generic_mio_trait_high_speed_operation_stores,generic_mio_trait_high_speed_raiding,any_parent
generic_mio_trait_high_speed_operation_stores_no_mtg,generic_mio_trait_high_speed_raiding,any_parent
generic_mio_trait_raiding_capital_ships,generic_mio_trait_long_range_raiding,any_parent
generic_mio_trait_raiding_capital_ships,generic_mio_trait_high_speed_raiding,any_parent
