trait_token,owner_key,owner_type,trait_type,name,icon,special_trait_background,position_x,position_y,relative_position_id
generic_mio_trait_simplified_suspension,generic_tank_organization,template,trait,generic_mio_trait_simplified_suspension,GFX_generic_mio_trait_icon_reliability,,1,0,
generic_mio_trait_crew_ergonomics,generic_tank_organization,template,trait,generic_mio_trait_crew_ergonomics,GFX_generic_mio_trait_icon_maximum_speed,,4,0,generic_mio_trait_simplified_suspension
generic_mio_trait_improved_tracks,generic_tank_organization,template,trait,generic_mio_trait_improved_tracks,GFX_generic_mio_trait_icon_maximum_speed,,0,2,generic_mio_trait_simplified_suspension
generic_mio_trait_command_upgrades,generic_tank_organization,template,trait,generic_mio_trait_command_upgrades,GFX_generic_mio_trait_icon_breakthrough,,0,2,generic_mio_trait_crew_ergonomics
generic_mio_trait_standardized_components,generic_tank_organization,template,trait,generic_mio_trait_standardized_components,GFX_generic_mio_department_icon_tank_general_line_efficiency,,2,1,generic_mio_trait_simplified_suspension
generic_mio_trait_improved_tooling,generic_tank_organization,template,trait,generic_mio_trait_improved_tooling,GFX_generic_mio_department_icon_tank_general_technology,,0,2,generic_mio_trait_standardized_components
generic_mio_trait_mass_production,generic_tank_organization,template,trait,generic_mio_trait_mass_production,GFX_generic_mio_department_icon_tank_general_production,,,,generic_mio_trait_improved_tooling
generic_mio_trait_quality_improvements,generic_tank_organization,template,trait,generic_mio_trait_quality_improvements,GFX_generic_mio_department_icon_tank_general_armor,,1,1,generic_mio_trait_improved_tooling
generic_mio_trait_defensive_equipment,generic_tank_organization,template,trait,generic_mio_trait_defensive_equipment,GFX_generic_mio_trait_icon_soft_attack,,2,0,generic_mio_trait_crew_ergonomics
generic_mio_trait_long_barreled_guns,generic_tank_organization,template,trait,generic_mio_trait_long_barreled_guns,GFX_generic_mio_trait_icon_ap_attack,,0,2,generic_mio_trait_defensive_equipment
generic_mio_trait_anti_tank_specialization,generic_tank_organization,template,trait,generic_mio_trait_anti_tank_specialization,GFX_generic_mio_trait_icon_hard_attack,,,,generic_mio_trait_long_barreled_guns
generic_mio_trait_infantry_support_tanks,generic_tank_organization,template,trait,generic_mio_trait_infantry_support_tanks,GFX_generic_mio_trait_icon_soft_attack,,1,2,generic_mio_trait_long_barreled_guns
generic_mio_trait_single_engine,generic_infantry_tank_organization,template,trait,generic_mio_trait_single_engine,GFX_generic_mio_trait_icon_breakthrough,,0,0,
generic_mio_trait_dual_engine_redundancy,generic_infantry_tank_organization,template,trait,generic_mio_trait_dual_engine_redundancy,GFX_generic_mio_trait_icon_reliability,,2,0,
generic_mio_trait_interleaved_track_wheels,generic_infantry_tank_organization,template,trait,generic_mio_trait_interleaved_track_wheels,GFX_generic_mio_trait_icon_maximum_speed,,0,2,generic_mio_trait_single_engine
generic_mio_trait_overlapped_track_wheels,generic_infantry_tank_organization,template,trait,generic_mio_trait_overlapped_track_wheels,GFX_generic_mio_trait_icon_defense,,0,2,generic_mio_trait_dual_engine_redundancy
generic_mio_trait_battle_tank_specifications,generic_infantry_tank_organization,template,trait,generic_mio_trait_battle_tank_specifications,GFX_generic_mio_department_icon_tank_general_armor,,6,0,
generic_mio_trait_adaptable_turret_ring,generic_infantry_tank_organization,template,trait,generic_mio_trait_adaptable_turret_ring,GFX_generic_mio_trait_icon_hard_attack,,,,generic_mio_trait_battle_tank_specifications
generic_mio_trait_turret_sights,generic_infantry_tank_organization,template,trait,generic_mio_trait_turret_sights,GFX_generic_mio_trait_icon_breakthrough,,0,2,generic_mio_trait_adaptable_turret_ring
generic_mio_trait_close_support_role,generic_infantry_tank_organization,template,trait,generic_mio_trait_close_support_role,GFX_generic_mio_trait_icon_soft_attack,,,,generic_mio_trait_battle_tank_specifications
generic_mio_trait_anti_tank_role,generic_infantry_tank_organization,template,trait,generic_mio_trait_anti_tank_role,GFX_generic_mio_trait_icon_hard_attack,,1,1,generic_mio_trait_battle_tank_specifications
generic_mio_trait_adaptable_chassis,generic_infantry_tank_organization,template,trait,generic_mio_trait_adaptable_chassis,GFX_generic_mio_department_icon_tank_general_technology,,1,1,generic_mio_trait_close_support_role
generic_mio_trait_light_tank_specialization,generic_infantry_tank_organization,template,trait,generic_mio_trait_light_tank_specialization,GFX_generic_mio_department_icon_tank_light_tank_production,,,,generic_mio_trait_adaptable_chassis
generic_mio_trait_medium_tank_specialization,generic_infantry_tank_organization,template,trait,generic_mio_trait_medium_tank_specialization,GFX_generic_mio_department_icon_tank_medium_tank_production,,0,2,generic_mio_trait_adaptable_chassis
generic_mio_trait_heavy_tank_specialization,generic_infantry_tank_organization,template,trait,generic_mio_trait_heavy_tank_specialization,GFX_generic_mio_department_icon_tank_heavy_tank_production,,1,2,generic_mio_trait_adaptable_chassis
generic_mio_trait_thick_armor,generic_infantry_tank_organization,template,trait,generic_mio_trait_thick_armor,GFX_generic_mio_department_icon_tank_general_armor,,3,1,generic_mio_trait_battle_tank_specifications
generic_mio_trait_even_thicker_armor,generic_infantry_tank_organization,template,trait,generic_mio_trait_even_thicker_armor,GFX_generic_mio_department_icon_tank_general_armor,,0,2,generic_mio_trait_thick_armor
generic_mio_trait_light_assault_gun_improvements,generic_assault_guns_organization,template,trait,generic_mio_trait_light_assault_gun_improvements,GFX_generic_mio_department_icon_tank_light_tank_weapons,,1,0,
generic_mio_trait_light_assault_gun_anti_tank_combo,generic_assault_guns_organization,template,trait,generic_mio_trait_light_assault_gun_anti_tank_combo,GFX_generic_mio_trait_icon_hard_attack,,,,generic_mio_trait_light_assault_gun_improvements
generic_mio_trait_light_assault_gun_improved_cannon_stabilization,generic_assault_guns_organization,template,trait,generic_mio_trait_light_assault_gun_improved_cannon_stabilization,GFX_generic_mio_trait_icon_breakthrough,,1,2,generic_mio_trait_light_assault_gun_improvements
generic_mio_trait_light_assault_gun_10_5_iefh_ammunition,generic_assault_guns_organization,template,trait,generic_mio_trait_light_assault_gun_10_5_iefh_ammunition,GFX_generic_mio_trait_icon_reliability,,0,1,generic_mio_trait_light_assault_gun_improvements
generic_mio_trait_medium_assault_gun_improvements,generic_assault_guns_organization,template,trait,generic_mio_trait_medium_assault_gun_improvements,GFX_generic_mio_department_icon_tank_medium_tank_weapons,,3,0,generic_mio_trait_light_assault_gun_improvements
generic_mio_lighter_materials_assault_guns,generic_assault_guns_organization,template,trait,generic_mio_lighter_materials_assault_guns,GFX_generic_mio_trait_icon_resources,,,,generic_mio_trait_medium_assault_gun_improvements
generic_mio_armor_hardening_process_assault_guns,generic_assault_guns_organization,template,trait,generic_mio_armor_hardening_process_assault_guns,GFX_generic_mio_department_icon_tank_general_armor,,1,1,generic_mio_trait_medium_assault_gun_improvements
