phase_key,name,desc,icon,picture,return_on_complete,source_file
phase_1,"""Dig","""Infiltrating","""GFX_total_operatives""","""GFX_report_event_generic_croatia_handshake""",,00_operation_phases.txt
phase_2,"""Silent","""Extremely","""GFX_arrested_operatives""","""GFX_report_event_generic_croatia_handshake""",,00_operation_phases.txt
phase_3,"""Collapse","""After","""GFX_dead_operatives""","""GFX_report_event_generic_croatia_handshake""",,00_operation_phases.txt
capture_cyphers_bribe,capture_cyphers_bribe,capture_cyphers_bribe_desc,"""GFX_phase_infiltrate_military_bribe_small""","""GFX_phase_infiltrate_military_bribe""",,lar_capture_cyphers.txt
capture_cyphers_raid,capture_cyphers_raid,capture_cyphers_raid_desc,"""GFX_phase_capture_cyphers_raid_small""","""GFX_phase_capture_cyphers_raid""",,lar_capture_cyphers.txt
capture_cyphers_seduction,capture_cyphers_seduction,capture_cyphers_seduction_desc,"""GFX_phase_infiltrate_military_seduction_small""","""GFX_phase_infiltrate_military_seduction""",,lar_capture_cyphers.txt
capture_cyphers_smuggle,capture_cyphers_smuggle,capture_cyphers_smuggle_desc,"""GFX_phase_capture_cyphers_smuggle_small""","""GFX_phase_capture_cyphers_smuggle""",,lar_capture_cyphers.txt
capture_cyphers_reverse_engineer,capture_cyphers_reverse_engineer,capture_cyphers_reverse_engineer_desc,"""GFX_phase_capture_cyphers_reverse_engineer_small""","""GFX_phase_capture_cyphers_reverse_engineer""",,lar_capture_cyphers.txt
collaboration_government_set_up_planning_committees,collaboration_government_set_up_planning_committees,collaboration_government_set_up_planning_committees_desc,"""GFX_phase_collaboration_government_set_up_planning_committees_small""","""GFX_phase_collaboration_government_set_up_planning_committees""",,lar_collaboration_government.txt
collaboration_government_train_paramilitary_forces,collaboration_government_train_paramilitary_forces,collaboration_government_train_paramilitary_forces_desc,"""GFX_phase_collaboration_government_train_paramilitary_forces_small""","""GFX_phase_collaboration_government_train_paramilitary_forces""",,lar_collaboration_government.txt
collaboration_government_contact_military_officers,collaboration_government_contact_military_officers,collaboration_government_contact_military_officers_desc,"""GFX_phase_collaboration_government_contact_military_officers_small""","""GFX_phase_collaboration_government_contact_military_officers""",,lar_collaboration_government.txt
coordinated_strike_scout_target,coordinated_strike_scout_target,coordinated_strike_scout_target_desc,"""GFX_phase_coordinated_strike_scout_target_small""","""GFX_phase_coordinated_strike_scout_target""",,lar_coordinated_strike.txt
coordinate_strike_mark_targets,coordinate_strike_mark_targets,coordinate_strike_mark_targets_desc,"""GFX_phase_coordinate_strike_mark_targets_small""","""GFX_phase_coordinate_strike_mark_targets""",,lar_coordinated_strike.txt
coordinated_strike_sabotage_communications,coordinated_strike_sabotage_communications,coordinated_strike_sabotage_communications_desc,"""GFX_phase_coordinated_strike_sabotage_communications_small""","""GFX_phase_coordinated_strike_sabotage_communications""",,lar_coordinated_strike.txt
coordinated_strike_direct_units,coordinated_strike_direct_units,coordinated_strike_direct_units_desc,"""GFX_phase_coordinated_strike_direct_units_small""","""GFX_phase_coordinated_strike_direct_units""",,lar_coordinated_strike.txt
