from_province_id,to_province_id,railway_level
6521,11444,3
11444,3312,3
3312,6282,3
6282,349,2
349,3340,2
3340,9388,2
9388,321,2
6282,6334,2
6334,9334,2
9334,9361,2
9361,11372,2
6332,6402,1
6402,3380,1
3380,362,1
6332,11245,1
11245,6375,1
6521,9428,3
9428,6441,3
6441,514,3
6521,375,2
375,11219,2
11219,11276,2
11276,321,2
6521,3499,3
3499,9456,3
9456,3522,3
3522,9375,1
9375,526,1
526,6377,1
6377,6263,1
6263,6325,1
6325,9347,1
9347,6257,2
6257,6389,2
6521,11505,3
11505,9496,3
9496,3572,3
3572,6595,3
6595,552,3
552,9570,3
6282,3207,2
3207,9496,2
9347,3368,1
3368,3231,1
3231,11366,1
11366,332,1
332,13263,1
13263,399,1
6377,3271,1
3271,3326,1
9347,6325,2
6325,6349,2
6349,3326,2
3326,241,1
3326,374,1
6469,6622,1
6622,11346,1
11346,9281,1
9281,11264,1
11264,11360,1
11360,241,1
6469,587,1
6469,495,3
495,6535,1
6535,11388,1
11388,247,1
247,309,1
309,3326,1
495,6535,1
6535,9509,1
9509,405,1
405,3395,1
3395,6377,1
6469,6570,1
6570,529,1
529,11494,1
11494,3423,2
3423,9575,2
9575,11531,2
11494,6444,3
6444,6488,3
11531,11547,2
11547,11560,2
11560,6488,2
9517,6568,3
6568,589,3
589,6488,3
11531,563,2
563,3558,2
3558,3530,2
3530,9517,2
9517,11499,3
11499,708,2
708,3705,1
3705,692,1
692,11653,1
11653,9515,1
9517,3530,2
3530,6542,2
6542,6712,2
6712,3692,2
3692,3679,1
3679,6934,1
6934,9655,1
9655,11638,1
11638,6693,1
6693,692,1
11499,3690,1
3690,9655,1
495,3398,3
3398,9547,3
9547,3524,3
3524,6488,3
9515,3299,2
3299,571,2
571,11544,2
692,9652,1
9652,707,1
707,3688,1
3688,6725,1
6725,9515,1
11499,9545,2
9545,11529,2
11529,11544,2
11544,9572,2
9572,11417,2
11417,11445,2
11445,3397,2
3397,6488,2
6488,3524,1
3524,6549,1
6549,9524,1
9524,3561,1
3561,425,3
425,6487,3
6487,3522,3
3561,6513,1
6513,564,1
564,11431,1
11431,9443,1
9443,495,1
6377,11493,1
11493,3355,1
3355,564,1
6488,3524,1
3524,11533,1
11533,564,1
3561,425,1
425,6582,1
6582,3535,1
3535,11481,1
11481,514,1
3535,6582,1
6582,6487,1
6487,3522,1
11544,9416,2
9416,3474,2
3474,482,2
482,6524,2
6524,538,2
538,6501,2
6501,3535,2
11372,11343,1
11343,9263,1
9263,362,1
6521,11505,1
11505,9496,1
9496,537,1
537,6236,1
6236,9387,1
9387,9252,1
9252,11260,1
11260,11288,1
11288,334,1
334,389,1
389,3380,1
3380,6402,1
6402,6332,1
6332,395,1
395,3384,1
3384,11312,1
11312,3272,1
3272,6296,1
3320,327,1
327,6296,1
3151,149,3
149,11068,3
11068,9164,3
9164,6095,3
6095,6035,3
6035,6086,3
6086,9111,3
9111,187,3
187,2999,3
2999,11315,3
11315,3215,3
3215,11250,3
11250,3358,3
3358,11282,3
11282,6380,3
758,11710,2
11710,9689,2
9689,6734,2
11805,3861,2
3861,799,2
799,6924,2
6924,9817,2
6880,9765,1
9765,3866,1
3866,980,1
980,970,1
970,11768,1
11768,11805,1
6734,9686,2
9686,11677,2
11677,11692,1
11692,6955,1
6955,758,1
9764,854,1
854,9824,1
6906,9896,2
9896,6817,2
6817,3873,2
3873,6966,2
6966,6812,2
6812,9764,2
6906,6959,1
6959,9889,1
9889,4098,1
4098,10024,1
10024,10109,1
10109,4065,1
4065,11956,1
11956,1176,1
1176,11956,1
11956,12038,1
1176,7068,2
7068,7198,2
7198,4182,2
4182,10009,1
10009,9979,1
4182,13231,2
13231,7183,2
7183,1048,1
4182,13231,1
13231,10094,1
4182,7198,1
7198,6744,1
6744,875,1
7183,1178,1
1178,875,1
9764,6812,2
6812,6966,2
6966,13223,2
13223,3954,2
3954,3816,2
3816,9813,2
9813,11821,2
11821,915,2
3938,9767,2
9767,6993,2
6993,9785,2
9785,11766,2
11766,813,2
813,3816,2
3816,6878,1
6878,6903,1
6903,3902,1
3902,11852,1
11852,13233,1
13233,740,1
885,11852,1
11852,13233,1
13233,740,1
3938,3794,1
3794,9800,1
9800,9846,1
9846,11825,1
11825,6936,1
6936,903,1
903,885,1
11825,4024,1
4024,3920,1
3920,726,1
726,3729,1
3729,11707,1
11677,11840,1
11840,3725,1
3725,3727,1
3727,3918,1
3918,918,1
918,11825,1
11707,6749,1
6749,9703,1
9703,11688,1
11688,740,1
7183,4080,2
4080,11749,2
11749,6954,2
6954,931,2
931,9925,2
9925,13230,2
13230,9839,1
9839,9917,1
9917,11820,1
11820,896,1
896,3938,1
1176,4095,1
4095,12083,1
12083,9828,1
9828,9778,1
9778,13229,1
13229,13224,1
13224,3938,1
11825,9846,2
9846,13232,2
13232,6867,2
6867,13221,1
13221,11756,1
11756,9839,1
9839,13230,1
6867,874,1
874,845,1
845,889,1
889,9817,1
13230,9877,1
9877,3926,1
3926,844,1
844,924,1
924,11805,1
10024,1093,2
1093,9903,2
9903,832,2
4098,1093,1
1093,11884,1
11884,832,1
832,942,1
942,9757,1
9757,6914,1
6914,3938,1
875,3871,2
3871,3810,2
3810,6948,2
6948,985,1
985,11780,1
11780,6866,1
6866,13230,1
6948,6832,1
6832,6800,1
6800,13229,1
13229,13224,1
13224,3938,1
3945,6879,1
6879,9852,1
9852,6914,1
6914,3938,1
6906,3799,1
3799,871,1
871,7213,1
7213,11737,1
11737,3816,1
6287,6393,2
6393,3260,2
3260,3325,2
3325,3277,2
3277,13263,2
13263,399,2
6364,6235,1
6235,394,1
241,11360,1
11360,11318,1
11318,9335,1
9335,6336,1
6469,3512,2
3512,9363,2
9363,6241,2
6241,391,3
391,68,1
68,3314,1
6241,6286,1
6286,6336,1
391,9498,3
9498,3262,1
3262,6598,1
6598,516,3
587,9522,2
9522,11562,2
11562,11519,2
11519,13068,1
13068,516,1
6583,11435,2
11435,11470,2
11470,11494,2
587,3547,2
3547,11494,2
9559,6583,1
6560,516,1
516,3576,1
3576,11483,1
11483,3536,1
3536,11548,1
11506,9534,1
9534,6569,1
6569,485,1
11506,9561,2
9561,454,2
454,11420,2
11563,9434,1
11506,9523,2
9523,3549,2
3549,9578,2
9578,11563,2
11506,9523,2
9523,3549,2
3549,3534,2
3534,553,2
553,11521,2
11521,11535,2
11535,3579,2
3579,6449,2
512,9725,2
9725,9523,2
9523,11506,2
3671,9492,2
9492,6533,2
6533,512,2
11506,9523,2
9523,6547,2
6547,11463,2
11463,3509,2
3509,3495,2
3495,527,2
527,9495,2
3552,6572,2
6572,9525,2
9525,11508,2
11508,9495,2
3671,9492,2
9492,9478,2
9478,503,2
503,11465,2
11465,9510,2
9510,6536,2
6657,655,2
655,3659,2
3659,3671,2
620,3626,2
3626,651,2
651,669,2
669,3671,2
9737,11565,2
11565,595,2
595,11582,2
11582,629,2
629,11596,2
11596,3671,2
9737,11565,1
11565,595,1
595,3598,1
3598,620,1
6766,11702,2
11702,6775,2
6775,11720,2
11720,9717,2
9717,9737,2
740,6756,2
6756,743,2
743,9710,1
9710,6777,1
6777,9737,1
743,11697,2
11697,11699,2
11699,3749,2
3749,6766,2
6766,11702,2
11702,6775,2
6775,9734,2
9734,9751,2
9751,620,2
9824,9853,2
9853,3946,2
3946,6960,2
6766,943,1
943,9723,1
9723,6960,1
6960,9898,2
9898,11877,2
11877,958,2
958,11834,2
11834,911,2
911,3928,2
3928,9909,2
6788,3772,2
3772,11891,2
11891,9909,2
11834,958,2
958,11713,2
11713,762,2
762,780,2
780,3589,2
3589,6613,2
3594,11593,1
11593,6613,1
3594,9607,2
9607,11576,2
11576,6648,2
6648,3621,2
3621,620,2
6960,760,2
760,11709,2
11709,3754,2
3754,769,2
769,9748,2
9748,3594,2
3594,9609,2
9609,667,2
667,9644,2
9644,6518,2
6518,512,2
6613,11794,2
11794,648,2
648,3652,2
3652,3669,2
3669,3506,2
3506,11491,2
11491,11506,2
3652,9642,2
9642,6698,2
6698,698,2
11506,11518,2
11518,6949,2
6949,3506,2
3506,9490,2
9490,3533,2
3533,6531,2
6531,9658,2
9658,6698,2
6698,698,2
698,678,2
678,6529,2
6529,9503,2
9503,1346,2
1346,3629,2
3629,11502,2
11502,9559,2
11506,11518,2
11518,11549,2
11549,13011,2
11420,454,2
454,3402,2
3402,11549,2
11549,13011,2
11531,11502,2
11502,9559,2
11516,1346,2
1346,9503,2
11516,5291,2
5291,6545,2
6545,11732,2
11732,551,2
551,6949,2
6949,11518,2
11518,11506,2
6613,3589,2
3589,6784,2
6784,6609,2
6609,9745,2
9745,6780,2
6788,771,2
771,9741,2
9741,11730,2
11730,6780,2
6780,11730,2
11730,9741,2
9741,776,2
776,3780,2
3780,9584,2
9584,9600,2
9600,658,2
658,661,2
661,11623,2
11623,663,2
6788,3773,1
3773,6790,1
6790,3780,1
678,6683,2
6683,9620,2
9620,9618,2
9618,636,2
636,6635,2
6635,776,2
9620,9638,2
9638,663,2
663,11604,2
11604,636,2
663,11640,1
11640,3692,1
663,11623,1
11623,6680,1
6680,6678,1
6678,9633,1
9633,11618,1
11618,673,1
9515,9681,1
9681,3703,1
3703,9665,1
9665,11651,2
11651,704,2
704,11666,2
11666,6690,1
6690,9648,1
9648,9679,1
9679,11651,1
11666,6690,1
6690,9679,1
9679,6687,1
6687,3673,1
3673,3674,1
3674,6673,1
6673,3657,1
3657,6656,1
6656,11584,1
6626,628,1
628,11584,1
3673,3674,1
3674,6673,1
6673,11595,1
11595,6626,1
688,3684,1
3684,9665,1
673,11634,1
11634,3675,1
3675,688,1
603,3604,2
3604,11584,2
603,3776,2
3776,773,2
773,3780,2
603,3776,2
3776,11734,2
11734,6606,2
6606,6793,1
6793,9582,1
9582,11584,1
3780,6790,1
6790,9752,1
9752,6606,1
6606,782,2
782,9924,1
9924,967,1
967,925,1
6788,6973,2
9904,11751,2
11751,6862,1
6862,6875,1
6875,11833,1
11833,6946,1
6946,6973,1
9907,1616,1
1616,6985,1
6985,6606,1
9907,9879,1
9879,9750,1
9750,6862,1
6862,11751,1
925,6926,1
6926,9794,1
9794,9904,1
6831,9838,1
9838,925,1
11837,9784,2
9784,6843,2
6843,883,2
883,6939,1
6939,3966,1
3966,6831,1
819,11803,2
11803,883,2
11846,9904,2
11846,923,1
923,9826,1
9826,819,1
9990,12066,2
12066,3901,2
3901,10027,2
10027,3968,2
3968,851,2
851,955,2
955,819,2
11998,11837,1
9990,12066,1
12066,12098,1
12098,10027,1
10027,9856,1
9856,11837,1
4014,4159,1
4159,1156,2
1156,3857,2
3857,10074,2
11773,11874,1
11874,11824,1
11824,9772,1
9772,6891,1
383,3307,2
3307,6412,2
6412,9362,2
9362,6345,2
6345,9279,2
6050,161,2
161,11082,2
11082,11380,2
11380,9393,2
9393,6397,2
6397,13265,2
13265,9406,2
9406,9329,2
9329,9251,2
9251,9410,2
9410,9300,2
9300,11376,2
383,6331,2
6331,3286,2
3286,3375,2
3375,3063,2
3063,6188,2
6188,9209,2
9209,9109,2
9109,11188,2
11188,11082,2
11082,161,2
161,6050,2
9279,11376,1
11376,6120,1
6120,11160,1
11160,11327,1
11327,11215,1
6296,6360,2
6360,6229,2
6229,9483,2
9483,6342,2
6342,6222,2
6222,9340,2
9483,3354,1
3354,9262,1
3320,9295,2
9295,11342,2
11342,11358,2
11358,310,2
310,7482,1
7482,10323,1
10323,9340,1
514,573,2
573,469,2
469,9414,2
9414,11542,2
3583,9457,1
9457,11467,1
11666,6739,1
6739,9692,1
9692,541,2
541,3484,2
3484,11539,2
11539,9551,1
9551,9567,1
9567,3583,1
11539,581,1
581,3550,1
3550,3581,1
9660,9690,1
9690,6561,1
6561,11679,1
