state_id,province_id,source_file
1,3838,1-France.txt
1,9851,1-France.txt
1,11804,1-France.txt
10,402,10-Poland.txt
10,467,10-Poland.txt
10,524,10-Poland.txt
10,3482,10-Poland.txt
10,3544,10-Poland.txt
10,6511,10-Poland.txt
10,9400,10-Poland.txt
10,11492,10-Poland.txt
10,12562,10-Poland.txt
100,4861,100-Iceland.txt
100,12674,100-Iceland.txt
100,12689,100-Iceland.txt
100,13266,100-Iceland.txt
100,13267,100-Iceland.txt
100,13268,100-Iceland.txt
100,13271,100-Iceland.txt
1000,1896,1000-East Azerbaijan.txt
1000,2071,1000-East Azerbaijan.txt
1000,4755,1000-East Azerbaijan.txt
1000,4825,1000-East Azerbaijan.txt
1000,12793,1000-East Azerbaijan.txt
1001,4943,1001-Kurdistan.txt
1001,9816,1001-Kurdistan.txt
1001,5098,1001-Kurdistan.txt
1001,12773,1001-Kurdistan.txt
1002,8031,1002-Yazd.txt
1002,1963,1002-Yazd.txt
1002,10828,1002-Yazd.txt
1003,12739,1003-South Khorasan.txt
1003,12852,1003-South Khorasan.txt
1003,10759,1003-South Khorasan.txt
1003,7990,1003-South Khorasan.txt
1003,10890,1003-South Khorasan.txt
1004,7573,1004-North Khorasan.txt
1004,1521,1004-North Khorasan.txt
1004,10351,1004-North Khorasan.txt
1005,7519,1005-Qataghan.txt
1005,10781,1005-Qataghan.txt
1005,10826,1005-Qataghan.txt
1005,12314,1005-Qataghan.txt
1005,12653,1005-Qataghan.txt
1006,5082,1006-Khyber Pass.txt
1006,12831,1006-Khyber Pass.txt
1007,7448,1007-Maymanah.txt
1007,7584,1007-Maymanah.txt
1007,10896,1007-Maymanah.txt
1007,12248,1007-Maymanah.txt
1007,12877,1007-Maymanah.txt
1008,4949,1008-Qandahar.txt
1008,5020,1008-Qandahar.txt
1008,5064,1008-Qandahar.txt
1008,8090,1008-Qandahar.txt
1008,10789,1008-Qandahar.txt
1009,2017,1009-Farah.txt
1009,2062,1009-Farah.txt
1009,2078,1009-Farah.txt
1009,1948,1009-Farah.txt
1009,2101,1009-Farah.txt
101,10245,101-Greenland.txt
101,10636,101-Greenland.txt
101,12512,101-Greenland.txt
101,13058,101-Greenland.txt
101,13066,101-Greenland.txt
1010,1631,1010-Al Anbar.txt
1010,4951,1010-Al Anbar.txt
1010,12413,1010-Al Anbar.txt
1011,78,1011-Al Basrah.txt
1011,2004,1011-Al Basrah.txt
1011,2089,1011-Al Basrah.txt
1011,7977,1011-Al Basrah.txt
1011,8001,1011-Al Basrah.txt
1011,12726,1011-Al Basrah.txt
1012,7049,1012-Kalat.txt
1012,8098,1012-Kalat.txt
1012,8066,1012-Kalat.txt
1013,13369,1013 -Musamdam.txt
1014,13313,1014 - Bahrain.txt
1015,2018,1015 - Interior Oman.txt
1015,5049,1015 - Interior Oman.txt
1016,2059,1016 - Dhofar.txt
1016,2103,1016 - Dhofar.txt
1017,1248,1017 - Trung Bo.txt
1017,1302,1017 - Trung Bo.txt
1017,4255,1017 - Trung Bo.txt
1017,4379,1017 - Trung Bo.txt
1017,4397,1017 - Trung Bo.txt
1017,7229,1017 - Trung Bo.txt
1017,7280,1017 - Trung Bo.txt
1017,9988,1017 - Trung Bo.txt
1017,10016,1017 - Trung Bo.txt
1017,10137,1017 - Trung Bo.txt
1017,10180,1017 - Trung Bo.txt
1017,11909,1017 - Trung Bo.txt
1017,10309,1017 - Trung Bo.txt
1017,11936,1017 - Trung Bo.txt
1017,12297,1017 - Trung Bo.txt
1018,1020,1018 - South Kyushu.txt
1018,1183,1018 - South Kyushu.txt
1018,4102,1018 - South Kyushu.txt
1018,4198,1018 - South Kyushu.txt
1018,7178,1018 - South Kyushu.txt
1018,11949,1018 - South Kyushu.txt
1018,12006,1018 - South Kyushu.txt
1018,12032,1018 - South Kyushu.txt
1019,1024,1019 - South Tohoku.txt
1019,4067,1019 - South Tohoku.txt
1019,4122,1019 - South Tohoku.txt
1019,4153,1019 - South Tohoku.txt
1019,4118,1019 - South Tohoku.txt
1019,7169,1019 - South Tohoku.txt
102,596,102-North-Eastern Slovenia.txt
102,665,102-North-Eastern Slovenia.txt
102,3631,102-North-Eastern Slovenia.txt
102,3654,102-North-Eastern Slovenia.txt
102,6672,102-North-Eastern Slovenia.txt
102,9596,102-North-Eastern Slovenia.txt
1020,1167,1020 - Sanin.txt
1020,1191,1020 - Sanin.txt
1020,7050,1020 - Sanin.txt
1020,7145,1020 - Sanin.txt
1020,10055,1020 - Sanin.txt
1021,12299,1021 - Actual Singapore.txt
1022,1230,1022 - Interior Borneo.txt
1022,2047,1022 - Interior Borneo.txt
1022,2170,1022 - Interior Borneo.txt
1022,2184,1022 - Interior Borneo.txt
1022,2222,1022 - Interior Borneo.txt
1022,4335,1022 - Interior Borneo.txt
1022,5176,1022 - Interior Borneo.txt
1022,5226,1022 - Interior Borneo.txt
1022,7424,1022 - Interior Borneo.txt
1022,8221,1022 - Interior Borneo.txt
1023,7371,1023 - Brunei.txt
1023,7387,1023 - Brunei.txt
1024,1306,1024 - Sabah.txt
1024,1335,1024 - Sabah.txt
1024,4282,1024 - Sabah.txt
1024,4338,1024 - Sabah.txt
1024,7358,1024 - Sabah.txt
1024,10143,1024 - Sabah.txt
1024,10212,1024 - Sabah.txt
1024,10199,1024 - Sabah.txt
1024,10240,1024 - Sabah.txt
1024,12171,1024 - Sabah.txt
1024,12186,1024 - Sabah.txt
1024,12228,1024 - Sabah.txt
1025,1421,1025 - Zamboanga.txt
1025,4399,1025 - Zamboanga.txt
1025,7360,1025 - Zamboanga.txt
1025,7389,1025 - Zamboanga.txt
1025,7417,1025 - Zamboanga.txt
1025,10184,1025 - Zamboanga.txt
1026,1293,1026 - North Mindanao.txt
1026,1379,1026 - North Mindanao.txt
1026,4427,1026 - North Mindanao.txt
1026,10214,1026 - North Mindanao.txt
1026,10243,1026 - North Mindanao.txt
1026,10300,1026 - North Mindanao.txt
1026,12160,1026 - North Mindanao.txt
1026,12188,1026 - North Mindanao.txt
1026,12217,1026 - North Mindanao.txt
1026,12245,1026 - North Mindanao.txt
1026,12273,1026 - North Mindanao.txt
1027,1415,1027 - Bataan.txt
1027,4423,1027 - Bataan.txt
1027,7275,1027 - Bataan.txt
1027,7351,1027 - Bataan.txt
1027,10165,1027 - Bataan.txt
1027,10280,1027 - Bataan.txt
1027,12253,1027 - Bataan.txt
1028,848,1028 - Hamgyong.txt
1028,852,1028 - Hamgyong.txt
1028,898,1028 - Hamgyong.txt
1028,906,1028 - Hamgyong.txt
1028,959,1028 - Hamgyong.txt
1028,978,1028 - Hamgyong.txt
1028,3803,1028 - Hamgyong.txt
1028,3852,1028 - Hamgyong.txt
1028,3860,1028 - Hamgyong.txt
1028,3981,1028 - Hamgyong.txt
1028,3904,1028 - Hamgyong.txt
1028,6928,1028 - Hamgyong.txt
1028,6922,1028 - Hamgyong.txt
1028,6944,1028 - Hamgyong.txt
1028,6822,1028 - Hamgyong.txt
1028,9899,1028 - Hamgyong.txt
1028,11878,1028 - Hamgyong.txt
1028,10083,1028 - Hamgyong.txt
1028,11770,1028 - Hamgyong.txt
1028,11775,1028 - Hamgyong.txt
1029,1148,1029 - Gangwon.txt
1029,4004,1029 - Gangwon.txt
1029,4103,1029 - Gangwon.txt
1029,7021,1029 - Gangwon.txt
1029,9936,1029 - Gangwon.txt
1029,11958,1029 - Gangwon.txt
1029,12011,1029 - Gangwon.txt
1029,11912,1029 - Gangwon.txt
103,591,103-Croatia.txt
103,984,103-Croatia.txt
103,3601,103-Croatia.txt
103,3868,103-Croatia.txt
103,3924,103-Croatia.txt
103,3974,103-Croatia.txt
103,6611,103-Croatia.txt
103,6889,103-Croatia.txt
103,11816,103-Croatia.txt
103,11901,103-Croatia.txt
103,13252,103-Croatia.txt
1030,1054,1030 - Gyeongsang.txt
1030,1081,1030 - Gyeongsang.txt
1030,4056,1030 - Gyeongsang.txt
1030,4086,1030 - Gyeongsang.txt
1030,7121,1030 - Gyeongsang.txt
1030,10085,1030 - Gyeongsang.txt
1030,12060,1030 - Gyeongsang.txt
1030,12089,1030 - Gyeongsang.txt
1031,1177,1031 - Chungcheong Jeolla.txt
1031,4126,1031 - Chungcheong Jeolla.txt
1031,7175,1031 - Chungcheong Jeolla.txt
1031,7204,1031 - Chungcheong Jeolla.txt
1031,10110,1031 - Chungcheong Jeolla.txt
1031,10115,1031 - Chungcheong Jeolla.txt
1031,11948,1031 - Chungcheong Jeolla.txt
1031,11977,1031 - Chungcheong Jeolla.txt
1031,11992,1031 - Chungcheong Jeolla.txt
1031,12085,1031 - Chungcheong Jeolla.txt
1032,517,1032 - Yanan.txt
1032,5007,1032 - Yanan.txt
1032,7208,1032 - Yanan.txt
1032,8049,1032 - Yanan.txt
1032,10733,1032 - Yanan.txt
1032,12156,1032 - Yanan.txt
1033,1018,1033 - Fangchenggang.txt
1033,4023,1033 - Fangchenggang.txt
1033,4160,1033 - Fangchenggang.txt
1033,7135,1033 - Fangchenggang.txt
1033,7192,1033 - Fangchenggang.txt
1033,10004,1033 - Fangchenggang.txt
1033,10105,1033 - Fangchenggang.txt
1033,11926,1033 - Fangchenggang.txt
1034,996,1034 - Suzhou.txt
1034,1089,1034 - Suzhou.txt
1034,4091,1034 - Suzhou.txt
1034,7120,1034 - Suzhou.txt
1034,10076,1034 - Suzhou.txt
1034,11928,1034 - Suzhou.txt
1034,11982,1034 - Suzhou.txt
1034,13142,1034 - Suzhou.txt
1035,1099,1035 - Nanjing.txt
1035,1146,1035 - Nanjing.txt
1035,4148,1035 - Nanjing.txt
1035,11913,1035 - Nanjing.txt
1036,4619,1036 - Wuhan.txt
1036,7167,1036 - Wuhan.txt
1036,12467,1036 - Wuhan.txt
1037,4431,1037 - Chongqing.txt
1037,6999,1037 - Chongqing.txt
1037,7240,1037 - Chongqing.txt
1037,11972,1037 - Chongqing.txt
1037,12705,1037 - Chongqing.txt
1038,1069,1038 - Jinan.txt
1038,1084,1038 - Jinan.txt
1038,1124,1038 - Jinan.txt
1038,4010,1038 - Jinan.txt
1038,4037,1038 - Jinan.txt
1038,4071,1038 - Jinan.txt
1038,4181,1038 - Jinan.txt
1038,7129,1038 - Jinan.txt
1038,7055,1038 - Jinan.txt
1038,7092,1038 - Jinan.txt
1038,7160,1038 - Jinan.txt
1038,7189,1038 - Jinan.txt
1038,7200,1038 - Jinan.txt
1038,9956,1038 - Jinan.txt
1038,9987,1038 - Jinan.txt
1038,10003,1038 - Jinan.txt
1038,10043,1038 - Jinan.txt
1038,10072,1038 - Jinan.txt
1038,10102,1038 - Jinan.txt
1038,10119,1038 - Jinan.txt
1038,11933,1038 - Jinan.txt
1038,11962,1038 - Jinan.txt
1038,11980,1038 - Jinan.txt
1038,12015,1038 - Jinan.txt
1038,12045,1038 - Jinan.txt
1038,12069,1038 - Jinan.txt
1038,12093,1038 - Jinan.txt
1039,1137,1039 - Hebei-Chahar.txt
1039,1590,1039 - Hebei-Chahar.txt
1039,6904,1039 - Hebei-Chahar.txt
1039,9776,1039 - Hebei-Chahar.txt
104,606,104-Bosnia.txt
104,982,104-Bosnia.txt
104,3985,104-Bosnia.txt
104,6614,104-Bosnia.txt
104,6619,104-Bosnia.txt
104,6799,104-Bosnia.txt
104,6957,104-Bosnia.txt
104,6983,104-Bosnia.txt
104,9586,104-Bosnia.txt
104,9588,104-Bosnia.txt
104,9591,104-Bosnia.txt
104,9922,104-Bosnia.txt
104,11572,104-Bosnia.txt
104,11574,104-Bosnia.txt
104,11741,104-Bosnia.txt
104,11872,104-Bosnia.txt
104,11899,104-Bosnia.txt
1040,4783,1040 - Alxa.txt
1040,7727,1040 - Alxa.txt
1040,7803,1040 - Alxa.txt
1040,8102,1040 - Alxa.txt
1040,10770,1040 - Alxa.txt
1040,10899,1040 - Alxa.txt
1041,1367,1041 - Chengdu.txt
1041,1395,1041 - Chengdu.txt
1041,4925,1041 - Chengdu.txt
1041,8026,1041 - Chengdu.txt
1041,10132,1041 - Chengdu.txt
1041,12141,1041 - Chengdu.txt
1041,12767,1041 - Chengdu.txt
1041,12819,1041 - Chengdu.txt
1042,1943,1042 - Khotan.txt
1042,1970,1042 - Khotan.txt
1042,4973,1042 - Khotan.txt
1042,8112,1042 - Khotan.txt
1042,10315,1042 - Khotan.txt
1042,10911,1042 - Khotan.txt
1043,7048,1043 - Pailingmiao.txt
1043,12331,1043 - Pailingmiao.txt
1044,1630,1044 - Wuwei.txt
1044,5057,1044 - Wuwei.txt
1044,5100,1044 - Wuwei.txt
1044,12327,1044 - Wuwei.txt
1044,12776,1044 - Wuwei.txt
1045,1985,1045 - Guyuan.txt
1045,3745,1045 - Guyuan.txt
1045,5025,1045 - Guyuan.txt
1045,6638,1045 - Guyuan.txt
1046,1458,1046 - Yulin.txt
1046,7314,1046 - Yulin.txt
1046,7659,1046 - Yulin.txt
105,937,105-Montenegro.txt
105,6913,105-Montenegro.txt
105,9809,105-Montenegro.txt
105,9821,105-Montenegro.txt
105,11858,105-Montenegro.txt
106,907,106-Macedonia.txt
106,974,106-Macedonia.txt
106,3833,106-Macedonia.txt
106,3865,106-Macedonia.txt
106,3882,106-Macedonia.txt
106,6886,106-Macedonia.txt
107,797,107-Kosavo.txt
107,3609,107-Kosavo.txt
107,3956,107-Kosavo.txt
107,3984,107-Kosavo.txt
107,6634,107-Kosavo.txt
107,9599,107-Kosavo.txt
107,11583,107-Kosavo.txt
107,11586,107-Kosavo.txt
108,630,108-Eastern Serbia.txt
108,3922,108-Eastern Serbia.txt
108,3939,108-Eastern Serbia.txt
108,6953,108-Eastern Serbia.txt
108,6970,108-Eastern Serbia.txt
108,6998,108-Eastern Serbia.txt
108,9602,108-Eastern Serbia.txt
108,9756,108-Eastern Serbia.txt
108,9906,108-Eastern Serbia.txt
108,11887,108-Eastern Serbia.txt
109,624,109-Eastern Croatia.txt
109,3592,109-Eastern Croatia.txt
109,3596,109-Eastern Croatia.txt
109,3627,109-Eastern Croatia.txt
109,6647,109-Eastern Croatia.txt
109,9595,109-Eastern Croatia.txt
109,9611,109-Eastern Croatia.txt
109,11577,109-Eastern Croatia.txt
109,11580,109-Eastern Croatia.txt
109,11581,109-Eastern Croatia.txt
109,11594,109-Eastern Croatia.txt
11,327,11-Kaunas.txt
11,6296,11-Kaunas.txt
11,6360,11-Kaunas.txt
11,9357,11-Kaunas.txt
11,9404,11-Kaunas.txt
110,14,110-Norway.txt
110,3007,110-Norway.txt
110,3171,110-Norway.txt
110,6115,110-Norway.txt
110,9103,110-Norway.txt
110,11078,110-Norway.txt
110,11151,110-Norway.txt
110,11184,110-Norway.txt
111,204,111-Uusima.txt
111,3161,111-Uusima.txt
111,6009,111-Uusima.txt
111,6108,111-Uusima.txt
111,6144,111-Uusima.txt
111,9129,111-Uusima.txt
111,11105,111-Uusima.txt
111,11211,111-Uusima.txt
112,799,112-Lisbon.txt
112,3798,112-Lisbon.txt
112,3861,112-Lisbon.txt
112,6924,112-Lisbon.txt
112,11805,112-Lisbon.txt
113,285,113-Ireland.txt
113,303,113-Ireland.txt
113,369,113-Ireland.txt
113,3342,113-Ireland.txt
113,3359,113-Ireland.txt
113,7377,113-Ireland.txt
113,11293,113-Ireland.txt
113,11303,113-Ireland.txt
114,902,114-Sardinia.txt
114,6891,114-Sardinia.txt
114,9772,114-Sardinia.txt
114,9863,114-Sardinia.txt
114,11755,114-Sardinia.txt
114,11773,114-Sardinia.txt
114,11824,114-Sardinia.txt
114,11874,114-Sardinia.txt
115,1009,115-Sicily.txt
115,1156,115-Sicily.txt
115,3857,115-Sicily.txt
115,4014,115-Sicily.txt
115,4159,115-Sicily.txt
115,7059,115-Sicily.txt
115,7147,115-Sicily.txt
115,10074,115-Sicily.txt
115,12047,115-Sicily.txt
115,13256,115-Sicily.txt
116,12003,116-Malta.txt
117,819,117-Napoli.txt
117,851,117-Napoli.txt
117,955,117-Napoli.txt
