state_id,province_id,victory_points,source_file
1,3838,1,1-France.txt
10,3544,25,10-Poland.txt
10,402,1,10-Poland.txt
100,12674,1,100-Iceland.txt
1000,1896,5,1000-East Azerbaijan.txt
1001,4943,5,1001-Kurdistan.txt
1001,5098,3,1001-Kurdistan.txt
1002,8031,1,1002-Yazd.txt
1003,7990,1,1003-South Khorasan.txt
1005,10781,1,1005-Qataghan.txt
1006,5082,1,1006-Khyber Pass.txt
1006,12831,1,1006-Khyber Pass.txt
1007,12248,1,1007-Maymanah.txt
1008,5064,1,1008-Qandahar.txt
1009,2017,1,1009-Farah.txt
102,665,1,102-North-Eastern Slovenia.txt
104,11899,5,104-Bosnia.txt
104,6983,3,104-Bosnia.txt
1046,7314,1,1046 - Yulin.txt
105,9809,3,105-Montenegro.txt
105,9821,1,105-Montenegro.txt
106,3882,5,106-Macedonia.txt
107,11586,15,107-Kosavo.txt
108,9602,3,108-Eastern Serbia.txt
109,11581,3,109-Eastern Croatia.txt
11,6296,5,11-Kaunas.txt
110,6115,13,110-Norway.txt
110,11151,2,110-Norway.txt
112,11805,20,112-Lisbon.txt
112,3798,1,112-Lisbon.txt
114,11773,3,114-Sardinia.txt
114,9772,2,114-Sardinia.txt
115,10074,20,115-Sicily.txt
115,4159,5,115-Sicily.txt
115,4014,5,115-Sicily.txt
115,13256,1,115-Sicily.txt
116,12003,5,116-Malta.txt
117,819,20,117-Napoli.txt
118,4135,10,118-Gibralter.txt
119,3379,5,119-Northern Ireland.txt
120,11064,1,120-Scottish Highlands.txt
121,9392,10,121-Scottish Lowlands.txt
121,6300,1,121-Scottish Lowlands.txt
122,377,5,122-Wales.txt
123,540,10,123-Cornwall.txt
123,6526,1,123-Cornwall.txt
124,408,1,124-Gotland.txt
126,6103,50,126-Greater London Area.txt
128,9297,25,128-West Midlands.txt
130,9379,10,130-Yorkshire.txt
130,11297,5,130-Yorkshire.txt
130,9315,15,130-Yorkshire.txt
131,351,8,131-Northern England.txt
132,6384,30,132-North-west England.txt
132,6318,5,132-North-west England.txt
