strategic_region_id,name_key,source_file
1,STRATEGICREGION_1,1-Southern England.txt
10,STRATEGICREGION_10,10-Southern Sweden.txt
100,STRATEGICREGION_100,100-Red Sea.txt
101,STRATEGICREGION_101,101-Bay of Bengal.txt
102,STRATEGICREGION_102,102-East African Coast.txt
103,STRATEGICREGION_103,103-Mozambique Channel.txt
104,STRATEGICREGION_104,104-Arabian Sea.txt
105,STRATEGICREGION_105,105-Eastern Pacific 1.txt
106,STRATEGICREGION_106,106-Mexican Coast.txt
107,STRATEGICREGION_107,107-Western Canal zone.txt
108,STRATEGICREGION_108,108-South American coast.txt
109,STRATEGICREGION_109,109-Peruivan Coast.txt
11,STRATEGICREGION_11,11-Southern Norway.txt
110,STRATEGICREGION_110,110-East Pacific 2.txt
111,STRATEGICREGION_111,111-East Pacific 3.txt
112,STRATEGICREGION_112,112-Far South Pacific.txt
113,STRATEGICREGION_113,113-South Pacific.txt
114,STRATEGICREGION_114,114-North Pacific.txt
115,STRATEGICREGION_115,115-North East Pacific.txt
116,STRATEGICREGION_116,116-Iran.txt
117,STRATEGICREGION_117,117-East Coast.txt
118,STRATEGICREGION_118,118-West Coast.txt
119,STRATEGICREGION_119,119-South West.txt
12,STRATEGICREGION_12,12-Northern Scandinavia.txt
120,STRATEGICREGION_120,120-Central USA.txt
121,STRATEGICREGION_121,121-Eastern Canada.txt
122,STRATEGICREGION_122,122-Western Canada.txt
123,STRATEGICREGION_123,123-Mexico.txt
124,STRATEGICREGION_124,124-Northern South America.txt
125,STRATEGICREGION_125,125-Brazil.txt
126,STRATEGICREGION_126,126-North Africa.txt
127,STRATEGICREGION_127,127-Saharadesert.txt
128,STRATEGICREGION_128,128-Egypt.txt
129,STRATEGICREGION_129,129-Asia minor.txt
13,STRATEGICREGION_13,13-Finland.txt
130,STRATEGICREGION_130,130-Ukraine.txt
131,STRATEGICREGION_131,131-Belarus.txt
132,STRATEGICREGION_132,132-Northern Front.txt
133,STRATEGICREGION_133,133-Central Russia.txt
134,STRATEGICREGION_134,134-Caucasus Region.txt
