technology_key,prerequisite_key,source_file
early_ship_hull_light,basic_ship_hull_light,MTG_naval.txt
early_ship_hull_light,smoke_generator,MTG_naval.txt
early_ship_hull_light,basic_depth_charges,MTG_naval.txt
early_ship_hull_light,sonar,MTG_naval.txt
basic_ship_hull_light,improved_ship_hull_light,MTG_naval.txt
improved_ship_hull_light,advanced_ship_hull_light,MTG_naval.txt
basic_depth_charges,improved_depth_charges,MTG_naval.txt
improved_depth_charges,advanced_depth_charges,MTG_naval.txt
advanced_depth_charges,modern_depth_charges,MTG_naval.txt
sonar,improved_sonar,MTG_naval.txt
improved_sonar,advanced_sonar,MTG_naval.txt
advanced_sonar,modern_sonar,MTG_naval.txt
early_ship_hull_cruiser,basic_ship_hull_cruiser,MTG_naval.txt
basic_ship_hull_cruiser,improved_ship_hull_cruiser,MTG_naval.txt
improved_ship_hull_cruiser,advanced_ship_hull_cruiser,MTG_naval.txt
basic_cruiser_armor_scheme,basic_heavy_armor_scheme,MTG_naval.txt
early_ship_hull_heavy,basic_ship_hull_heavy,MTG_naval.txt
basic_ship_hull_heavy,improved_ship_hull_heavy,MTG_naval.txt
basic_ship_hull_heavy,basic_heavy_armor_scheme,MTG_naval.txt
improved_ship_hull_heavy,advanced_ship_hull_heavy,MTG_naval.txt
basic_heavy_armor_scheme,improved_heavy_armor_scheme,MTG_naval.txt
early_ship_hull_carrier,basic_ship_hull_carrier,MTG_naval.txt
basic_ship_hull_carrier,improved_ship_hull_carrier,MTG_naval.txt
improved_ship_hull_carrier,advanced_ship_hull_carrier,MTG_naval.txt
improved_ship_hull_carrier,sp_refined_pykrete,MTG_naval.txt
early_ship_hull_submarine,basic_ship_hull_submarine,MTG_naval.txt
basic_ship_hull_submarine,improved_ship_hull_submarine,MTG_naval.txt
basic_ship_hull_submarine,sp_aip_engine_improved_tech,MTG_naval.txt
improved_ship_hull_submarine,advanced_ship_hull_submarine,MTG_naval.txt
improved_ship_hull_submarine,basic_submarine_snorkel,MTG_naval.txt
basic_submarine_snorkel,improved_submarine_snorkel,MTG_naval.txt
sp_aip_engine_improved_tech,sp_aip_engine_advanced_tech,MTG_naval.txt
sp_refined_pykrete,sp_ice_composite_runawayas,MTG_naval.txt
basic_battery,basic_light_battery,MTG_naval_Support.txt
basic_battery,basic_heavy_battery,MTG_naval_Support.txt
basic_light_battery,basic_light_shell,MTG_naval_Support.txt
basic_light_shell,improved_light_battery,MTG_naval_Support.txt
improved_light_battery,improved_light_shell,MTG_naval_Support.txt
improved_light_battery,basic_dp_light_battery,MTG_naval_Support.txt
improved_light_shell,advanced_light_battery,MTG_naval_Support.txt
basic_heavy_battery,basic_heavy_shell,MTG_naval_Support.txt
improved_heavy_battery,improved_heavy_shell,MTG_naval_Support.txt
basic_heavy_shell,improved_heavy_battery,MTG_naval_Support.txt
improved_heavy_shell,advanced_heavy_battery,MTG_naval_Support.txt
basic_dp_light_battery,improved_dp_light_battery,MTG_naval_Support.txt
improved_dp_light_battery,advanced_dp_light_battery,MTG_naval_Support.txt
basic_torpedo,improved_ship_torpedo_launcher,MTG_naval_Support.txt
magnetic_detonator,advanced_ship_torpedo_launcher,MTG_naval_Support.txt
homing_torpedo,modern_ship_torpedo_launcher,MTG_naval_Support.txt
improved_ship_torpedo_launcher,magnetic_detonator,MTG_naval_Support.txt
advanced_ship_torpedo_launcher,homing_torpedo,MTG_naval_Support.txt
damage_control_1,damage_control_2,MTG_naval_Support.txt
damage_control_2,damage_control_3,MTG_naval_Support.txt
damage_control_3,sp_improved_repair_ship,MTG_naval_Support.txt
fire_control_methods_1,fire_control_methods_2,MTG_naval_Support.txt
fire_control_methods_2,fire_control_methods_3,MTG_naval_Support.txt
basic_naval_mines,improved_naval_mines,MTG_naval_Support.txt
basic_naval_mines,submarine_mine_laying,MTG_naval_Support.txt
submarine_mine_laying,improved_submarine_mine_laying,MTG_naval_Support.txt
improved_naval_mines,advanced_naval_mines,MTG_naval_Support.txt
improved_naval_mines,degaussing,MTG_naval_Support.txt
advanced_naval_mines,airdrop_mines,MTG_naval_Support.txt
advanced_naval_mines,airdrop_mines_bba,MTG_naval_Support.txt
advanced_naval_mines,airsweep_mines_bba,MTG_naval_Support.txt
advanced_naval_mines,airsweep_mines,MTG_naval_Support.txt
mtg_transport,mtg_landing_craft,MTG_naval_Support.txt
mtg_transport,sp_multi_product_supply_ships,MTG_naval_Support.txt
mtg_landing_craft,mtg_tank_landing_craft,MTG_naval_Support.txt
mtg_landing_craft,sp_improved_support_ship,MTG_naval_Support.txt
sp_multi_product_supply_ships,sp_standard_tenshioned_replenishment_alongside_method,MTG_naval_Support.txt
gwtank_chassis,basic_light_tank_chassis,NSB_armor.txt
gwtank_chassis,basic_heavy_tank_chassis,NSB_armor.txt
gwtank_chassis,basic_medium_tank_chassis,NSB_armor.txt
gwtank_chassis,sp_armored_advanced_flamethrower_tech,NSB_armor.txt
basic_light_tank_chassis,improved_light_tank_chassis,NSB_armor.txt
improved_light_tank_chassis,advanced_light_tank_chassis,NSB_armor.txt
improved_light_tank_chassis,amphibious_tank_chassis,NSB_armor.txt
amphibious_tank_chassis,amphibious_drive,NSB_armor.txt
basic_medium_tank_chassis,improved_medium_tank_chassis,NSB_armor.txt
improved_medium_tank_chassis,advanced_medium_tank_chassis,NSB_armor.txt
advanced_medium_tank_chassis,main_battle_tank_chassis,NSB_armor.txt
basic_heavy_tank_chassis,improved_heavy_tank_chassis,NSB_armor.txt
improved_heavy_tank_chassis,advanced_heavy_tank_chassis,NSB_armor.txt
improved_heavy_tank_chassis,super_heavy_tank_chassis,NSB_armor.txt
advanced_heavy_tank_chassis,main_battle_tank_chassis,NSB_armor.txt
super_heavy_tank_chassis,sp_armored_lc_high_impact_obliterator_cannon_tech,NSB_armor.txt
super_heavy_tank_chassis,sp_armored_lc_naval_engine_conversion_tech,NSB_armor.txt
super_heavy_tank_chassis,sp_armored_lc_transmission_improvements_tech,NSB_armor.txt
super_heavy_tank_chassis,sp_armored_lc_specialized_field_manuals_tech,NSB_armor.txt
armor_tech_1,armor_tech_2,NSB_armor.txt
armor_tech_2,armor_tech_3,NSB_armor.txt
armor_tech_3,armor_tech_4,NSB_armor.txt
engine_tech_1,engine_tech_2,NSB_armor.txt
engine_tech_2,engine_tech_3,NSB_armor.txt
engine_tech_3,engine_tech_4,NSB_armor.txt
sp_armored_lc_naval_engine_conversion_tech,sp_armored_lc_weapon_fire_control_tech,NSB_armor.txt
sp_armored_lc_transmission_improvements_tech,sp_armored_lc_weapon_fire_control_tech,NSB_armor.txt
sp_armored_lc_specialized_field_manuals_tech,sp_armored_lc_weapon_fire_control_tech,NSB_armor.txt
early_transport_plane,improved_transport_plane,air_techs.txt
improved_transport_plane,strategic_airlifter,air_techs.txt
early_fighter,fighter1,air_techs.txt
early_fighter,CAS1,air_techs.txt
early_fighter,naval_bomber1,air_techs.txt
fighter1,fighter2,air_techs.txt
fighter2,fighter3,air_techs.txt
fighter3,jet_fighter1,air_techs.txt
jet_fighter1,jet_fighter2,air_techs.txt
jet_fighter1,sp_centrifugal_jet_tech,air_techs.txt
CAS1,CAS2,air_techs.txt
CAS2,CAS3,air_techs.txt
CAS3,jet_fighter1,air_techs.txt
naval_bomber1,naval_bomber2,air_techs.txt
naval_bomber2,naval_bomber3,air_techs.txt
naval_bomber3,jet_fighter1,air_techs.txt
early_bomber,heavy_fighter1,air_techs.txt
early_bomber,tactical_bomber1,air_techs.txt
heavy_fighter1,heavy_fighter2,air_techs.txt
heavy_fighter2,heavy_fighter3,air_techs.txt
scout_plane1,scout_plane2,air_techs.txt
