medal_key,modifier_key,modifier_value
krigskorset,army_morale_factor,0.1
krigskorset,experience_loss_factor,-0.07
haakon_viis_frihetskors,supply_consumption_factor,-0.1
haakon_viis_frihetskors,recon_factor,0.05
krigsmedaljen,max_dig_in_factor,0.1
krigsmedaljen,army_defence_factor,0.05
haakon_viis_frihetsmedalje,breakthrough_factor,0.1
haakon_viis_frihetsmedalje,army_attack_factor,0.05
folketskors,army_org_factor,0.08
folketskors,experience_loss_factor,-0.1
norgeskors,army_org_factor,0.1
norgeskors,breakthrough_factor,0.07
deltagermedaljen,army_fuel_consumption_factor,-0.1
deltagermedaljen,supply_consumption_factor,-0.05
haakon_viis_70arsmedalje,army_attack_factor,0.1
haakon_viis_70arsmedalje,army_morale_factor,0.05
st_olavsmedaljen,equipment_capture_factor,0.1
st_olavsmedaljen,breakthrough_factor,0.05
mannerheim_cross,army_org_factor,0.1
mannerheim_cross,army_defence_factor,0.05
order_of_the_red_star_finland,army_org_factor,0.1
order_of_the_red_star_finland,army_defence_factor,0.05
cross_of_liberty,army_morale_factor,0.1
cross_of_liberty,experience_loss_factor,-0.2
order_of_the_white_rose,army_attack_factor,0.05
order_of_the_white_rose,breakthrough_factor,0.05
order_of_the_lion,max_dig_in_factor,0.1
order_of_the_lion,recon_factor_while_entrenched,0.1
norwegian_defense_cross_of_honor,army_defence_factor,0.16
order_of_the_dannebrog,army_org_factor,0.1
order_of_the_dannebrog,army_defence_factor,0.05
order_of_the_civil_union,army_org_factor,0.1
order_of_the_civil_union,army_defence_factor,0.05
iron_cross_second_class,army_org_factor,0.1
knights_cross,recon_factor,0.15
knights_cross_oak_leaves,army_fuel_consumption_factor,-0.075
knights_cross_oak_leaves,supply_consumption_factor,-0.075
knights_cross_swords_and_diamonds,breakthrough_factor,0.075
bronze_star,army_morale_factor,0.05
bronze_star,army_org_factor,0.05
silver_star,supply_consumption_factor,-0.1
distinguished_service_cross,army_attack_factor,0.05
medal_of_honor,experience_loss_factor,-0.2
battle_merit_medal,army_morale_factor,0.15
order_of_kutuzov,max_dig_in_factor,0.15
